Line,X,Y,Bx,By,Bz,Bm,Bm_res
1,0.0,-3.00568483386,70.8520994749,25752.7,-43565.9801598,50608.3116157,145.00865026
1,0.0,-3.0,72.1956023591,25752.7,-43566.0508704,50608.3743855,144.343461852
1,0.0,-2.99431516614,72.5491557497,25752.9,-43565.8387384,50608.2940512,145.052604255
1,0.0,-2.9914727492,71.4177848998,25752.8,-43566.2630025,50608.6067813,146.001233288
1,0.0,-2.9914727492,71.1349421874,25752.8,-43566.5458452,50608.8498674,145.564814789
1,0.0,-2.98010308148,72.2663130373,25752.8,-43566.8286879,50609.0949552,145.476005957
1,0.0,-2.97726066455,72.7612877841,25752.9,-43566.6165559,50608.9639366,145.294786051
1,0.0,-2.97441824761,70.9935208311,25753.3,-43567.252952,50609.7128104,146.316914353
1,0.0,-2.97726066455,70.3571247281,25753.4,-43567.8893481,50610.3106484,146.937203816
1,0.0,-2.98294549841,71.2763635436,25753.3,-43566.9701092,50609.4697237,145.722898736
1,0.0,-2.98863033227,71.7006276123,25753.4,-43566.9701092,50609.5212094,145.911400106
1,0.0,-2.98578791534,71.0642315092,25753.2,-43566.3337131,50608.8707004,145.368362078
1,0.0,-2.98578791534,70.4278354062,25752.9,-43565.697317,50608.169313,145.14559837
1,0.0,-2.98863033227,72.4784450716,25752.4,-43565.485185,50607.7351626,144.481221461
1,0.0,-2.98294549841,72.9734198184,25752.3,-43565.5558957,50607.7458588,144.01458763
1,0.0,-2.98578791534,71.8420489686,25752.7,-43566.2630025,50608.5564956,144.55097584
1,0.0,-2.9914727492,71.2763635436,25753.0,-43566.5458452,50608.9518386,144.015592809
1,0.0,-2.98578791534,70.7106781187,25753.0,-43567.252952,50609.5597568,143.661149749
1,0.0,-2.97157583068,71.3470742217,25753.4,-43567.1822413,50609.7033227,143.662193722
1,0.0,-2.98010308148,70.4278354062,25753.2,-43566.6872665,50609.1741654,142.867448703
1,0.0,-2.97726066455,69.8621499812,25752.6,-43565.8387384,50608.1376111,142.046876786
1,0.0,-2.9914727492,71.2056528655,25752.2,-43565.0609209,50607.266357,141.127868917
1,0.0,-3.0,71.9834703248,25752.2,-43564.5659462,50606.841361,140.931353081
1,0.0,-3.00284241693,72.4077343935,25752.5,-43563.8588394,50606.3859222,140.817584801
1,0.0,-3.00568483386,71.9127596467,25752.4,-43564.7780782,50607.1256466,140.800130859
1,0.0,-2.99431516614,72.1956023591,25752.2,-43565.2023423,50607.3895016,141.196959596
1,0.0,-3.00568483386,72.1956023591,25752.4,-43565.3437637,50607.6130163,141.688950773
