Y X GPSALT LONG LAT MAGIGRF IGRF
474260.63 8217069.47 477.65 -51.240724 -16.126331 263.49 23522.06
474257.55 8217157.04 478.36 -51.240752 -16.125539 254.031 23522.163
474255.97 8217244.3 478.35 -51.240766 -16.12475 247.534 23522.267
474256.16 8217331.26 475.47 -51.240763 -16.123964 237.38 23522.37
474257.55 8217418.22 471.46 -51.240749 -16.123178 231.956 23522.473
474259.52 8217505.48 468.13 -51.24073 -16.122389 239.081 23522.577
474261.8 8217593.06 465.75 -51.240708 -16.121598 250.966 23522.682
474263.77 8217680.63 464.09 -51.240688 -16.120806 249.542 23522.786
474265.75 8217768.21 463.34 -51.240669 -16.120014 228.754 23522.891
474796.02 8217691.08 451.51 -51.23571 -16.120717 266.83 23522.915
474795.53 8217606.27 448.81 -51.235716 -16.121484 266.073 23522.814
474794.73 8217521.16 447.42 -51.235724 -16.122253 275.151 23522.713
474793.94 8217436.35 447.55 -51.235733 -16.12302 290.372 23522.612
474792.85 8217351.24 448.26 -51.235744 -16.123789 296.865 23522.511
474791.46 8217266.74 449.54 -51.235758 -16.124553 303.057 23522.41
474790.07 8217181.93 451.36 -51.235771 -16.12532 314.35 23522.31
474789.28 8217097.74 453.6 -51.23578 -16.126081 317.367 23522.209
474788.78 8217013.55 456.02 -51.235785 -16.126842 306.126 23522.109
474789.47 8216929.66 457.75 -51.23578 -16.1276 313.954 23522.01
474791.35 8216845.78 458.52 -51.235763 -16.128359 325.315 23521.911
474794.12 8216761.9 459.58 -51.235738 -16.129117 335.856 23521.812
474797.48 8216678.33 460.93 -51.235708 -16.129872 345.13 23521.714
474800.84 8216594.45 462.29 -51.235677 -16.130631 351.792 23521.615
474803.91 8216510.57 463.7 -51.235649 -16.131389 353.557 23521.516
474807.27 8216426.69 465.24 -51.235619 -16.132147 354.623 23521.417
474809.74 8216342.8 466.12 -51.235596 -16.132906 357.687 23521.318
474811.62 8216258.61 466.95 -51.23558 -16.133667 357.741 23521.219
474813.2 8216174.73 468.07 -51.235566 -16.134425 358.438 23521.12
474813.89 8216090.85 469.74 -51.23556 -16.135184 353.56 23521.02
474814.88 8216006.97 472.02 -51.235552 -16.135942 349.631 23520.921
474814.38 8215923.39 475.22 -51.235558 -16.136697 326.254 23520.822
474812.4 8215839.81 477.4 -51.235577 -16.137453 304.083 23520.722
474809.52 8215756.23 479.72 -51.235605 -16.138209 300.484 23520.623
474805.76 8215672.65 481.79 -51.235641 -16.138964 301.765 23520.523
474800.81 8215589.06 482.94 -51.235688 -16.13972 304.581 23520.423
474795.26 8215505.79 483.3 -51.235741 -16.140472 311.736 23520.323
474789.71 8215422.21 485.07 -51.235794 -16.141228 320.605 23520.222
474783.87 8215339.24 489.09 -51.235849 -16.141978 326.327 23520.123
474777.43 8215256.88 494.13 -51.23591 -16.142722 328.587 23520.024
474770.69 8215174.83 499.73 -51.235974 -16.143464 326.601 23519.925
474764.25 8215093.4 505.54 -51.236035 -16.1442 320.094 23519.827
474757.51 8215012.58 511.17 -51.236099 -16.144931 312.048 23519.73
474751.37 8214932.38 517.32 -51.236158 -16.145656 306.221 23519.634
474745.52 8214853.09 523.83 -51.236213 -16.146372 300.537 23519.538
474739.67 8214774.43 530.56 -51.236269 -16.147083 296.635 23519.444
474734.12 8214696.07 537.02 -51.236321 -16.147792 297.648 23519.35
474728.86 8214618.32 542.81 -51.236371 -16.148495 300.088 23519.257
474723.9 8214541.19 547.94 -51.236419 -16.149192 301.28 23519.164
474719.24 8214464.37 552.58 -51.236463 -16.149886 301.446 23519.072
474716.65 8214387.85 556.7 -51.236488 -16.150578 299.491 23518.981
474715.26 8214311.96 561.12 -51.236502 -16.151264 294.675 23518.891
474715.64 8214236.37 565.83 -51.236499 -16.151947 287.397 23518.801
474716.91 8214161.09 570.51 -51.236488 -16.152628 278.889 23518.713
474719.38 8214085.81 574.78 -51.236466 -16.153308 270.721 23518.624
474723.32 8214010.84 578.58 -51.23643 -16.153986 263.075 23518.536
474728.16 8213936.18 582.33 -51.236385 -16.154661 254.682 23518.449
474733.59 8213861.83 586.1 -51.236335 -16.155333 243.548 23518.362
474739.62 8213787.48 590.17 -51.23628 -16.156006 230.388 23518.275
474745.94 8213713.74 594.62 -51.236221 -16.156672 218.292 23518.19
474752.85 8213640.0 599.13 -51.236158 -16.157339 210.646 23518.104
474760.36 8213566.27 604.31 -51.236088 -16.158006 208.14 23518.018
474768.46 8213492.84 609.04 -51.236013 -16.15867 208.343 23517.933
474776.86 8213419.11 612.31 -51.235935 -16.159336 207.791 23517.848
474784.97 8213345.37 614.72 -51.23586 -16.160003 203.18 23517.762
474793.07 8213271.63 617.57 -51.235785 -16.16067 192.747 23517.677
474799.98 8213198.21 622.07 -51.235721 -16.161333 178.263 23517.591
474806.3 8213125.08 628.2 -51.235663 -16.161995 163.963 23517.506
474810.84 8213052.27 635.19 -51.235621 -16.162653 151.696 23517.421
474814.79 8212979.45 642.02 -51.235585 -16.163311 140.361 23517.336
474817.54 8212906.63 648.49 -51.23556 -16.16397 129.533 23517.251
474819.7 8212834.11 654.57 -51.235541 -16.164625 120.184 23517.165
474820.38 8212761.6 660.24 -51.235535 -16.165281 113.587 23517.08
474820.17 8212689.39 665.94 -51.235538 -16.165933 110.218 23516.994
474818.17 8212617.49 672.14 -51.235557 -16.166583 108.543 23516.909
474814.69 8212545.89 678.33 -51.235591 -16.167231 105.981 23516.823
474810.02 8212474.6 684.65 -51.235635 -16.167875 101.901 23516.738
474804.46 8212403.61 691.14 -51.235688 -16.168517 96.395 23516.653
474797.41 8212332.93 697.51 -51.235755 -16.169156 90.29 23516.568
474789.48 8212262.56 703.27 -51.23583 -16.169792 85.725 23516.483
474780.35 8212192.18 708.05 -51.235916 -16.170428 81.566 23516.398
474770.93 8212121.81 712.29 -51.236005 -16.171064 75.171 23516.313
474761.21 8212051.74 716.18 -51.236096 -16.171697 63.524 23516.228
