Y X GPSALT LONG LAT MAGIGRF IGRF
473792.0 8216024.21 491.95 -51.245119 -16.135775 294.554 23520.717
473792.01 8216016.22 492.53 -51.245119 -16.135847 294.03 23520.708
473792.02 8216007.92 493.11 -51.245119 -16.135922 293.443 23520.698
473792.03 8215999.93 493.69 -51.245119 -16.135995 292.793 23520.689
473792.04 8215991.64 494.27 -51.245119 -16.13607 292.065 23520.679
473792.05 8215983.65 494.91 -51.245119 -16.136142 291.263 23520.669
473791.76 8215975.66 495.55 -51.245121 -16.136214 290.37 23520.66
473791.77 8215967.67 496.18 -51.245121 -16.136286 289.389 23520.65
473791.78 8215959.68 496.82 -51.245121 -16.136359 288.319 23520.641
473791.79 8215951.69 497.46 -51.245121 -16.136431 287.161 23520.631
473791.8 8215943.4 498.1 -51.245121 -16.136506 285.915 23520.621
473791.81 8215935.41 498.74 -51.245121 -16.136578 284.596 23520.612
473791.81 8215927.42 499.37 -51.245121 -16.13665 283.212 23520.603
473791.53 8215919.43 500.01 -51.245124 -16.136722 281.777 23520.593
473791.54 8215911.44 500.65 -51.245124 -16.136795 280.309 23520.584
473791.55 8215903.45 501.28 -51.245124 -16.136867 278.827 23520.574
473791.56 8215895.46 501.92 -51.245124 -16.136939 277.356 23520.565
473791.57 8215887.47 502.55 -51.245124 -16.137011 275.922 23520.555
473791.58 8215879.48 503.18 -51.245124 -16.137084 274.541 23520.546
473791.58 8215871.49 503.81 -51.245124 -16.137156 273.229 23520.536
473791.59 8215863.51 504.45 -51.245124 -16.137228 271.994 23520.527
473791.6 8215855.82 505.08 -51.245124 -16.137297 270.848 23520.518
473791.61 8215847.83 505.71 -51.245124 -16.13737 269.801 23520.508
473791.62 8215839.85 506.35 -51.245124 -16.137442 268.852 23520.499
473791.63 8215831.86 506.98 -51.245124 -16.137514 268.003 23520.489
473791.64 8215823.87 507.59 -51.245124 -16.137586 267.25 23520.48
473791.65 8215815.88 508.21 -51.245124 -16.137659 266.591 23520.47
473791.66 8215807.89 508.82 -51.245124 -16.137731 266.023 23520.461
473791.67 8215800.21 509.43 -51.245124 -16.1378 265.536 23520.452
473791.68 8215792.22 510.04 -51.245124 -16.137872 265.121 23520.442
473791.69 8215784.23 510.66 -51.245124 -16.137945 264.774 23520.433
473791.4 8215776.24 511.27 -51.245127 -16.138017 264.485 23520.423
473791.41 8215768.56 511.88 -51.245127 -16.138086 264.254 23520.414
473791.42 8215760.57 512.5 -51.245127 -16.138159 264.065 23520.405
473791.43 8215752.58 513.11 -51.245127 -16.138231 263.908 23520.395
473791.44 8215744.9 513.7 -51.245127 -16.1383 263.778 23520.386
473791.15 8215736.91 514.29 -51.24513 -16.138372 263.663 23520.376
473791.16 8215729.23 514.88 -51.24513 -16.138442 263.56 23520.367
473791.17 8215721.24 515.47 -51.24513 -16.138514 263.457 23520.358
473791.18 8215713.56 516.06 -51.24513 -16.138584 263.349 23520.349
473790.89 8215705.57 516.64 -51.245132 -16.138656 263.225 23520.339
473790.9 8215697.58 517.23 -51.245132 -16.138728 263.086 23520.33
