GPSALT IGRF LAT LONG Line MAGIGRF X Y
627.02 23517.937 -16.161181 -51.22201 22750 525.797 8213216.74 476265.76
626.08 23517.964 -16.160972 -51.222016 22750 538.186 8213239.78 476265.14
625.07 23517.991 -16.160764 -51.222021 22750 549.532 8213262.83 476264.52
624.06 23518.019 -16.160553 -51.222024 22750 559.945 8213286.18 476264.2
623.05 23518.046 -16.160342 -51.222027 22750 569.457 8213309.53 476263.88
621.97 23518.074 -16.160131 -51.222027 22750 578.134 8213332.88 476263.85
620.85 23518.101 -16.159919 -51.222027 22750 586.141 8213356.24 476263.83
619.73 23518.129 -16.159706 -51.222027 22750 593.434 8213379.9 476263.8
618.61 23518.157 -16.159494 -51.222024 22750 599.928 8213403.25 476264.07
617.47 23518.185 -16.159281 -51.222024 22750 605.787 8213426.91 476264.05
616.32 23518.213 -16.159067 -51.222021 22750 611.157 8213450.57 476264.32
615.18 23518.241 -16.158853 -51.222019 22750 616.173 8213474.23 476264.59
613.97 23518.27 -16.158636 -51.222016 22750 620.784 8213498.2 476264.86
612.77 23518.298 -16.158422 -51.22201 22750 624.913 8213521.86 476265.43
611.56 23518.326 -16.158206 -51.222005 22750 628.782 8213545.82 476266.0
610.34 23518.354 -16.157992 -51.222002 22750 632.465 8213569.48 476266.27
609.12 23518.383 -16.157772 -51.221996 22750 636.014 8213593.76 476266.84
607.9 23518.412 -16.157556 -51.221991 22750 639.457 8213617.73 476267.41
606.75 23518.44 -16.157339 -51.221983 22750 642.739 8213641.69 476268.27
605.77 23518.469 -16.157122 -51.221977 22750 645.823 8213665.66 476268.84
604.79 23518.497 -16.156903 -51.221969 22750 648.546 8213689.94 476269.7
603.81 23518.526 -16.156686 -51.22196 22750 650.637 8213713.9 476270.57
603.1 23518.555 -16.156467 -51.221952 22750 651.936 8213738.18 476271.43
602.38 23518.584 -16.156247 -51.221946 22750 652.328 8213762.45 476272.0
601.67 23518.613 -16.156028 -51.221938 22750 651.759 8213786.73 476272.87
600.82 23518.642 -16.155806 -51.221927 22750 650.335 8213811.31 476274.03
599.9 23518.671 -16.155586 -51.221919 22750 648.245 8213835.59 476274.89
598.98 23518.7 -16.155364 -51.22191 22750 645.71 8213860.17 476275.76
598.08 23518.729 -16.155142 -51.221902 22750 642.909 8213884.75 476276.62
597.2 23518.759 -16.15492 -51.221894 22750 640.107 8213909.33 476277.48
596.33 23518.788 -16.154697 -51.221885 22750 637.57 8213933.92 476278.35
595.45 23518.817 -16.154478 -51.221874 22750 635.541 8213958.19 476279.51
594.68 23518.847 -16.154253 -51.221866 22750 634.253 8213983.08 476280.37
593.9 23518.876 -16.154031 -51.221855 22750 633.867 8214007.66 476281.54
593.13 23518.906 -16.153806 -51.221847 22750 634.472 8214032.55 476282.4
592.45 23518.935 -16.153583 -51.221835 22750 636.082 8214057.14 476283.56
591.83 23518.965 -16.153358 -51.221827 22750 638.265 8214082.03 476284.43
591.21 23518.994 -16.153136 -51.221816 22750 640.399 8214106.61 476285.59
