 GPSALT IGRF LAT LONG Line mag_res1 MAGIGRF X Y
65 561.69 23516.194 -16.174581 -51.221658000000005 22750 -254.85392933291473 -129.93200000000002 8211734.52 476305.07
66 563.97 23516.222999999998 -16.174356 -51.221669 22750 -255.98085692456897 -124.915 8211759.4 476303.86
67 566.18 23516.252999999997 -16.174128 -51.221677 22750 -258.39824719408495 -121.14 8211784.6 476302.94
68 568.2 23516.282000000003 -16.173903 -51.221688 22750 -261.98259557232547 -118.57799999999999 8211809.49 476301.73
69 570.23 23516.311 -16.173678 -51.221699 22750 -266.4635232497674 -116.914 8211834.37 476300.51
70 572.25 23516.34 -16.173453 -51.221708 22750 -271.4938691332528 -115.82700000000001 8211859.26 476299.59
71 574.56 23516.369 -16.173233 -51.221713 22750 -276.58112366415446 -114.977 8211883.53 476298.97
72 576.87 23516.397999999997 -16.173011 -51.221716 22750 -281.61184078712586 -114.023 8211908.12 476298.65
73 579.18 23516.427000000003 -16.172789 -51.221719 22750 -286.29913712350225 -112.728 8211932.7 476298.33
74 581.54 23516.455 -16.172569 -51.221721 22750 -290.29138915964876 -110.81200000000001 8211956.97 476298.0
75 583.92 23516.484 -16.17235 -51.221721 22750 -293.4936385294517 -108.137 8211981.24 476297.98
76 586.3 23516.512000000002 -16.172133 -51.221721 22750 -295.8392643856198 -104.677 8212005.21 476297.95
77 588.7 23516.541 -16.171914 -51.221721 22750 -297.5159345420235 -100.47399999999999 8212029.49 476297.93
78 591.14 23516.569 -16.171697 -51.221721 22750 -298.56113961159076 -95.71600000000001 8212053.45 476297.9
79 593.57 23516.597 -16.171483 -51.221721 22750 -299.10272108173405 -90.527 8212077.11 476297.87
80 596.01 23516.626 -16.171267 -51.221721 22750 -299.3993468518889 -85.01899999999999 8212101.08 476297.85
81 598.52 23516.653 -16.171056 -51.221724 22750 -299.2958864303012 -79.23100000000001 8212124.43 476297.53
82 601.03 23516.681 -16.170842 -51.221724 22750 -298.8474679004445 -73.05199999999999 8212148.09 476297.5
83 603.53 23516.709 -16.170628 -51.221724 22750 -298.1450492845687 -66.62 8212171.75 476297.48
84 606.08 23516.736 -16.170417 -51.221727 22750 -297.00658894899277 -59.79600000000001 8212195.1 476297.15
85 608.65 23516.764 -16.170206 -51.22173 22750 -295.36354931423 -52.466 8212218.46 476296.83
86 611.22 23516.792 -16.169994 -51.22173 22750 -293.08508631210526 -44.533 8212241.81 476296.81
87 613.78 23516.819 -16.169786 -51.221734999999995 22750 -290.0735840850356 -35.882 8212264.85 476296.19
88 616.34 23516.846 -16.169578 -51.221738 22750 -286.39850006424945 -26.595 8212287.9 476295.87
89 618.89 23516.873 -16.169369 -51.221740999999994 22750 -282.266995342656 -16.852999999999998 8212310.94 476295.54
90 621.45 23516.9 -16.169161 -51.221744 22750 -277.869911321637 -6.843999999999999 8212333.99 476295.22
91 623.75 23516.927000000003 -16.168956 -51.221748999999996 22750 -273.2703647083184 3.32 8212356.72 476294.6
92 626.05 23516.953999999998 -16.16875 -51.221752 22750 -268.4802363012703 13.647 8212379.46 476294.28
93 628.35 23516.98 -16.168544 -51.221755 22750 -263.43310789422793 24.230999999999998 8212402.2 476293.96
94 630.45 23517.007 -16.168342000000003 -51.221759999999996 22750 -258.0029376814795 35.153 8212424.63 476293.34
95 632.45 23517.033 -16.168139 -51.221763 22750 -252.141764888181 46.476000000000006 8212447.06 476293.02
96 634.44 23517.06 -16.167932999999998 -51.221769 22750 -246.0016390616815 58.183 8212469.8 476292.4
97 636.26 23517.086 -16.167731 -51.221773999999996 22750 -239.49046884915865 70.186 8212492.23 476291.78
98 637.73 23517.112999999998 -16.167528 -51.221779999999995 22750 -232.806298550397 82.361 8212514.66 476291.17
99 639.2 23517.139 -16.167325 -51.221785 22750 -226.06812833764127 94.59100000000001 8212537.09 476290.55
100 640.67 23517.165 -16.167122 -51.221788000000004 22750 -219.41395554435007 106.70700000000001 8212559.52 476290.23
101 641.48 23517.192000000003 -16.166919 -51.221796000000005 22750 -213.13378791236272 118.509 8212581.95 476289.31
102 642.28 23517.217999999997 -16.166719 -51.221799 22750 -207.1165707330409 129.91299999999998 8212604.07 476288.99
103 643.09 23517.244 -16.166517000000002 -51.221804999999996 22750 -201.57940052029244 140.942 8212626.5 476288.37
104 643.42 23517.271 -16.166314 -51.221813 22750 -196.30623280206777 151.736 8212648.93 476287.46
105 643.51 23517.297000000002 -16.166110999999997 -51.221819 22750 -191.00006258953766 162.534 8212671.36 476286.84
106 643.59 23517.322999999997 -16.165907999999998 -51.221827000000005 22750 -185.51689495733788 173.53900000000002 8212693.79 476285.92
107 643.46 23517.35 -16.165706 -51.221833000000004 22750 -179.82872465856312 184.718 8212716.22 476285.31
108 642.91 23517.376 -16.165503 -51.221838 22750 -173.9935544460403 196.045 8212738.65 476284.69
109 642.35 23517.402000000002 -16.1653 -51.221846 22750 -167.95638681382738 207.604 8212761.08 476283.77
110 641.79 23517.429 -16.165097 -51.221852 22750 -161.44621660107896 219.606 8212783.51 476283.15
111 640.98 23517.455 -16.164894 -51.22186 22750 -154.46904888308566 232.104 8212805.94 476282.24
112 640.17 23517.482000000004 -16.164689000000003 -51.221869 22750 -147.19750485030264 244.97 8212828.67 476281.32
113 639.36 23517.507999999998 -16.164482999999997 -51.221877 22750 -139.71538151833266 258.048 8212851.41 476280.41
114 638.38 23517.535 -16.164281 -51.221885 22750 -131.8722138861271 271.413 8212873.84 476279.49
115 637.3 23517.561 -16.164075 -51.221891 22750 -123.47708797360849 285.374 8212896.58 476278.88
116 636.23 23517.588 -16.163869000000002 -51.221899 22750 -114.22996472765186 300.218 8212919.32 476277.96
117 635.29 23517.615 -16.163664 -51.221908 22750 -104.16442069488187 315.878 8212942.05 476277.04
118 634.58 23517.641 -16.163458 -51.221916 22750 -93.60829736290617 332.03 8212964.79 476276.13
119 633.88 23517.667999999998 -16.163253 -51.221924 22750 -82.43717411694945 348.798 8212987.53 476275.21
120 633.18 23517.695 -16.163047 -51.221933 22750 -69.9686299981604 366.86 8213010.26 476274.3
121 632.66 23517.721 -16.162842 -51.221940999999994 22750 -55.950506752203694 386.475 8213033.0 476273.38
122 632.14 23517.748 -16.162633 -51.221952 22750 -40.99600960020638 407.12800000000004 8213056.04 476272.17
123 631.61 23517.775 -16.162428 -51.221959999999996 22750 -25.984886354249795 427.736 8213078.78 476271.25
124 630.99 23517.802000000003 -16.162219 -51.221969 22750 -11.960386621703776 447.42900000000003 8213101.82 476270.34
125 630.33 23517.828999999998 -16.162014000000003 -51.22198 22750 0.7597341299488107 465.775 8213124.56 476269.13
126 629.66 23517.856 -16.161806 -51.221988 22750 11.929812989649292 482.61699999999996 8213147.61 476268.21
127 628.9 23517.882999999998 -16.161597 -51.221996000000004 22750 21.730312636170368 498.087 8213170.65 476267.29
128 627.96 23517.91 -16.161389 -51.222004999999996 22750 30.404812368716307 512.43 8213193.69 476266.38
129 627.02 23517.937 -16.161181 -51.22201 22750 38.129893809185205 525.797 8213216.74 476265.76
130 626.08 23517.964 -16.160972 -51.222015999999996 22750 44.879396036254946 538.186 8213239.78 476265.14
131 625.07 23517.991 -16.160764 -51.222021000000005 22750 50.583477476730934 549.5319999999999 8213262.83 476264.52
132 624.06 23518.019 -16.160553 -51.222024 22750 55.311937898312976 559.945 8213286.18 476264.2
133 623.05 23518.046000000002 -16.160342 -51.222027000000004 22750 59.139398319669226 569.457 8213309.53 476263.88
134 621.97 23518.074 -16.160131 -51.222027000000004 22750 62.16086123578225 578.134 8213332.88 476263.85
135 620.85 23518.101000000002 -16.159919 -51.222027000000004 22750 64.51090345109355 586.141 8213356.24 476263.83
136 619.73 23518.129 -16.159706 -51.222027000000004 22750 66.07332198095025 593.434 8213379.9 476263.8
137 618.61 23518.157000000003 -16.159494 -51.222024 22750 66.94178747760463 599.928 8213403.25 476264.07
138 617.47 23518.185 -16.159281 -51.222024 22750 67.07120609348033 605.7869999999999 8213426.91 476264.05
139 616.32 23518.213 -16.159067 -51.222021000000005 22750 66.74062720388565 611.1569999999999 8213450.57 476264.32
140 615.18 23518.241 -16.158853 -51.222019 22750 66.05604831429116 616.173 8213474.23 476264.59
141 613.97 23518.27 -16.158635999999998 -51.222015999999996 22750 64.89142503866003 620.784 8213498.2 476264.86
142 612.77 23518.298 -16.158422 -51.22201 22750 63.3498487296082 624.913 8213521.86 476265.43
143 611.56 23518.326 -16.158206 -51.222004999999996 22750 61.47564882112658 628.7819999999999 8213545.82 476266.0
144 610.34 23518.354 -16.157992 -51.222002 22750 59.45806993153201 632.465 8213569.48 476266.27
145 609.12 23518.382999999998 -16.157772 -51.221996000000004 22750 57.18640485042624 636.014 8213593.76 476266.84
146 607.9 23518.412 -16.157556 -51.221990999999996 22750 54.88378415511238 639.457 8213617.73 476267.41
147 606.75 23518.44 -16.157339 -51.221983 22750 52.45158674116044 642.739 8213641.69 476268.27
148 605.77 23518.468999999997 -16.157122 -51.221977 22750 49.78996604607789 645.823 8213665.66 476268.84
149 604.79 23518.497000000003 -16.156903 -51.221969 22750 46.72130345927019 648.5459999999999 8213689.94 476269.7
150 603.81 23518.526 -16.156685999999997 -51.221959999999996 22750 43.099106131331496 650.637 8213713.9 476270.57
151 603.1 23518.555 -16.156467000000003 -51.221952 22750 38.60644354474948 651.936 8213738.18 476271.43
152 602.38 23518.584 -16.156247 -51.221946 22750 33.1801992500117 652.328 8213762.45 476272.0
153 601.67 23518.612999999998 -16.156028 -51.221938 22750 26.82053674922315 651.759 8213786.73 476272.87
154 600.82 23518.642000000003 -16.155806 -51.221927 22750 19.562253143760017 650.335 8213811.31 476274.03
155 599.9 23518.671000000002 -16.155586 -51.221919 22750 11.680590556952325 648.245 8213835.59 476274.89
156 598.98 23518.7 -16.155364000000002 -51.22191 22750 3.2823044567340958 645.71 8213860.17 476275.76
157 598.08 23518.729 -16.155142 -51.221902 22750 -5.382981729510675 642.909 8213884.75 476276.62
158 597.2 23518.759 -16.15492 -51.221894 22750 -14.049267915748146 640.107 8213909.33 476277.48
159 596.33 23518.787999999997 -16.154697 -51.221885 22750 -22.451974802559903 637.57 8213933.92 476278.35
160 595.45 23518.817000000003 -16.154478 -51.221874 22750 -30.240214022225473 635.5409999999999 8213958.19 476279.51
161 594.68 23518.847 -16.154253 -51.221866 22750 -37.46754459449335 634.253 8213983.08 476280.37
162 593.9 23518.876 -16.154031 -51.221855 22750 -43.686828114168975 633.867 8214007.66 476281.54
163 593.13 23518.906000000003 -16.153806 -51.221847 22750 -49.02115868642386 634.472 8214032.55 476282.4
164 592.45 23518.935 -16.153582999999998 -51.221835 22750 -53.24786307871932 636.082 8214057.14 476283.56
165 591.83 23518.965 -16.153357999999997 -51.221827000000005 22750 -57.00319356518651 638.265 8214082.03 476284.43
166 591.21 23518.994 -16.153136 -51.221816 22750 -60.70347717088259 640.399 8214106.61 476285.59
167 590.68 23519.023999999998 -16.152911 -51.221808 22750 -65.14780774314329 641.894 8214131.5 476286.45
168 590.34 23519.053 -16.152689000000002 -51.221799 22750 -70.71509384336889 642.19 8214156.08 476287.32
169 590.0 23519.083 -16.152464000000002 -51.221790999999996 22750 -77.71142441562961 641.133 8214180.97 476288.18
170 589.66 23519.112 -16.152239 -51.221785 22750 -86.08675748264704 638.726 8214205.86 476288.75
171 589.69 23519.142000000003 -16.152014 -51.221777 22750 -95.57808805490788 635.174 8214230.75 476289.61
172 589.71 23519.171000000002 -16.151792 -51.221771999999994 22750 -105.88237673567619 630.763 8214255.33 476290.18
173 589.74 23519.201 -16.151567 -51.221763 22750 -116.79570730793705 625.789 8214280.22 476291.04
174 589.8 23519.23 -16.151342 -51.221759999999996 22750 -128.0370429554972 620.5459999999999 8214305.11 476291.31
175 589.88 23519.259 -16.151120000000002 -51.221755 22750 -139.2523316362583 615.224 8214329.69 476291.88
176 589.96 23519.289 -16.150895000000002 -51.221748999999996 22750 -150.67866470305012 609.766 8214354.58 476292.45
177 589.97 23519.318 -16.15067 -51.221747 22750 -162.41100035038335 604.0319999999999 8214379.47 476292.72
178 589.84 23519.347999999998 -16.150447 -51.221740999999994 22750 -174.48428911716485 597.8530000000001 8214404.05 476293.28
179 589.71 23519.377 -16.150222 -51.221738 22750 -187.21062476472366 591.125 8214428.94 476293.55
180 589.58 23519.406000000003 -16.15 -51.221733 22750 -200.3789134452593 583.85 8214453.52 476294.12
181 588.93 23519.436 -16.149775 -51.22173 22750 -214.1082490928194 576.119 8214478.41 476294.39
182 588.28 23519.465 -16.149553 -51.221724 22750 -228.05095856018147 568.072 8214503.0 476294.96
183 587.64 23519.495 -16.149328 -51.221722 22750 -242.4172942075146 559.7040000000001 8214527.89 476295.23
184 586.72 23519.523999999998 -16.149103 -51.221719 22750 -257.0042090682556 551.113 8214552.77 476295.5
185 585.67 23519.553 -16.148881 -51.221713 22750 -271.6449185358359 542.368 8214577.36 476296.07
186 584.61 23519.583 -16.148656 -51.221709999999995 22750 -286.62125418317055 533.39 8214602.25 476296.34
