LINE,X,Y,GPSALT,RAD,MAGLEV,syn_dem,MAG_REGIONAL,mag_res,ellip_pipe_magmod,ellipsoid_magmod
     L22750,476295.006321,8214522.402584,587.778085,176.962165,24070.872909,410.815920,23891.940788,276.147805,-999999,-999999
     L22750,476294.956205,8214502.401668,588.295468,177.444330,24077.188649,410.851138,23890.527334,283.160115,-999999,-999999
     L22750,476294.528618,8214482.398034,588.829515,177.923960,24083.423070,410.905555,23889.111030,290.101400,-999999,-999999
     L22750,476294.124370,8214462.394651,589.345475,178.406175,24089.356662,410.939300,23887.693014,296.743112,-999999,-999999
     L22750,476293.827179,8214442.392090,589.638578,177.275496,24095.066277,412.363082,23886.273631,303.160103,-999999,-999999
     L22750,476293.575565,8214422.389891,589.741596,174.788037,24100.470722,414.953559,23884.852713,309.272563,-999999,-999999
     L22750,476293.285876,8214402.387479,589.848035,172.401149,24105.453220,417.446886,23883.429925,314.965697,-999999,-999999
     L22750,476292.820608,8214382.383969,589.951052,169.915840,24110.126825,420.035212,23882.004592,320.355954,-999999,-999999
     L22750,476292.430733,8214362.381023,589.978750,167.510158,24114.497899,422.468593,23880.577816,325.443635,-999999,-999999
     L22750,476292.160560,8214342.378906,589.921095,165.056958,24118.642367,424.864136,23879.149893,330.303496,-999999,-999999
     L22750,476291.912732,8214322.376966,589.853542,162.666925,24122.648383,427.186617,23877.720383,335.026052,251.231366,275.707319
     L22750,476291.283413,8214302.372767,589.792871,160.166244,24126.662496,429.626628,23876.286965,339.768155,251.721946,277.601585
     L22750,476291.074408,8214282.371160,589.742590,157.460226,24130.557499,432.282364,23874.854189,344.382198,252.288991,279.601388
     L22750,476290.422008,8214262.367041,589.718479,156.061770,24134.298110,433.656709,23873.416926,348.855109,252.636717,281.400623
     L22750,476289.720656,8214242.362803,589.700397,154.659852,24137.774026,435.040545,23871.977418,353.066542,252.894546,283.132252
     L22750,476289.319104,8214222.360323,589.679887,153.253458,24140.802902,436.426430,23870.538029,356.824889,253.182879,284.922154
     L22750,476288.624653,8214202.356394,589.688601,151.823756,24143.180959,437.864845,23869.094760,359.942099,253.289880,286.547480
     L22750,476288.193773,8214182.353940,589.981667,150.201643,24144.797048,439.780025,23867.651507,362.292109,253.413747,288.210429
     L22750,476287.532783,8214162.350445,590.248255,148.576237,24145.538982,441.672018,23866.204682,363.776099,253.370662,289.722216
     L22750,476286.829999,8214142.346898,590.524529,146.941984,24145.396391,443.582545,23864.755597,364.378657,253.225180,291.149240
     L22750,476286.132925,8214122.343535,590.811748,145.318772,24144.407048,445.492976,23863.304611,364.136256,252.991705,292.506093
     L22750,476285.286310,8214102.339701,591.312856,143.629774,24142.826424,447.683082,23861.850403,363.308766,252.610494,293.721453
     L22750,476284.436093,8214082.336064,591.822175,141.906105,24140.865193,449.916069,23860.394135,362.102809,252.130799,294.852434
     L22750,476283.741690,8214062.333230,592.325334,140.218399,24138.894240,452.106935,23858.937254,360.884659,251.611476,295.962772
     L22750,476283.047295,8214042.330546,592.824782,138.530700,24137.225947,454.294082,23857.478430,359.971117,250.989906,296.983933
     L22750,476282.044911,8214022.326967,593.448455,138.043214,24136.107631,455.405241,23856.014692,359.618589,250.142431,297.774008
     L22750,476281.143025,8214002.323980,594.067360,137.673446,24135.707307,456.393915,23854.549836,359.983183,249.224580,298.506530
     L22750,476280.348167,8213982.321521,594.703219,137.305736,24136.001758,457.397483,23853.084012,361.041400,248.237365,299.181287
     L22750,476279.653802,8213962.319513,595.320662,136.934616,24136.892324,458.386046,23851.617240,362.694688,247.175436,299.793439
     L22750,476278.948911,8213942.317611,596.015311,138.224714,24138.312215,457.790596,23850.148410,364.879575,246.005985,300.286412
     L22750,476277.946108,8213922.315165,596.735530,139.941855,24140.127894,456.793674,23848.674346,367.471415,244.565740,300.521558
