amf bx by bz x y z
51.636984574878994 -46.1775814376133 -6.9754790132505535 -22.0307022378903 6917887.0 677375.0 -1114.14
50.24385261010105 -47.37099111591568 -6.902717094300864 -15.257339955491684 6917767.0 677373.0 -1106.05
47.90806498774635 -46.75292387537975 -6.986025477950097 -7.780889923042604 6917644.0 677370.0 -1096.28
44.70226751774342 -44.1492441703457 -6.90972977028563 -1.1800825889417013 6917521.0 677368.0 -1087.53
41.27786209371196 -40.60547523529266 -6.53265892151645 3.5187565074424265 6917396.0 677365.0 -1080.08
38.51910210077862 -37.52873171691296 -5.7624920168436455 6.489160818317889 6917271.0 677363.0 -1074.54
36.66516852806657 -35.24610545698167 -4.709156413917008 8.937028542872355 6917146.0 677363.0 -1068.17
35.04666472754773 -32.94377410657915 -3.525784939387851 11.425642069529811 6917020.0 677362.0 -1060.62
32.99588217026554 -30.103777131506053 -2.3369884507087733 13.305236848395985 6916893.0 677359.0 -1053.32
30.70015824252001 -27.357314412759244 -1.2362182838201612 13.876196474248747 6916765.0 677354.0 -1047.32
29.059520423608827 -25.691666019701135 -0.26845919296260945 13.576522163057312 6916637.0 677349.0 -1040.8
28.612211269181646 -25.247018128469485 0.5800941324384965 13.450286247159532 6916509.0 677344.0 -1035.33
29.11764800380416 -25.407253027241183 1.3496858610927625 14.159352632078573 6916381.0 677340.0 -1032.26
29.965594989686156 -25.5085515844402 2.074093373490374 15.586815448573859 6916252.0 677338.0 -1031.23
30.892724406394013 -25.47288678444706 2.7000798800862764 17.268527116037085 6916124.0 677336.0 -1028.82
32.200603845631264 -25.617391521125917 3.1787995597960563 19.2489836883735 6915995.0 677332.0 -1025.78
34.23151060517679 -25.88290900418152 3.4737748568045674 22.13152114152622 6915866.0 677329.0 -1021.02
36.41665608710129 -25.238342424982278 3.693399934339146 25.991493014649514 6915738.0 677325.0 -1016.86
37.60711622288915 -22.846104532249115 3.9184143497764525 29.614130534035677 6915609.0 677323.0 -1012.57
36.94095626291129 -19.354529174532722 4.437933256748687 31.15030013433467 6915480.0 677320.0 -1010.45
35.15244801328128 -16.497105091069532 5.296806057808036 30.585682443369134 6915352.0 677318.0 -1007.86
33.47604709509855 -14.959910816135366 6.392279082725971 29.25723099705569 6915225.0 677319.0 -1005.21
32.353591264261404 -13.991181325392024 7.5898293043324285 28.16728960950965 6915098.0 677322.0 -1002.13
31.073301844679293 -12.925760127821807 8.756015909598052 26.86646605043967 6914971.0 677326.0 -999.1
29.42493572411542 -12.48617164288808 9.987584958260648 24.70162963802565 6914845.0 677330.0 -998.84
28.77937277166312 -13.585283202337836 11.421269574491705 22.654954838829674 6914719.0 677335.0 -998.36
30.265211409320614 -15.762058215203533 13.092670021724656 22.27380825484582 6914592.0 677340.0 -994.32
33.2032742973121 -17.57003619078894 14.900605596133047 23.910734099675857 6914466.0 677345.0 -989.13
36.285076677924245 -18.053754427595226 16.857099451827303 26.580198243469358 6914339.0 677348.0 -984.19
38.88535099904679 -17.322630365672044 18.87432178019229 29.25332420206506 6914212.0 677350.0 -979.25
40.905208844191705 -15.70815122161162 20.783338587668055 31.536374758939374 6914084.0 677353.0 -973.55
42.15886031539044 -13.52995071112909 22.423021366651394 33.03813023822195 6913957.0 677355.0 -967.29
42.67130511030548 -11.261472732828409 23.688728599471435 33.658039887152206 6913829.0 677356.0 -962.83
42.7464450659222 -9.136731094840929 24.601483431774643 33.74234318524114 6913702.0 677357.0 -957.99
42.463087064681666 -7.195414859737675 25.34753514468431 33.29928272722996 6913574.0 677356.0 -950.37
42.02394941221557 -5.8191229212652615 25.869561337186962 32.60239145905068 6913446.0 677355.0 -943.77
41.64030829176883 -4.1909305450865 26.186262201113017 32.10344292648956 6913317.0 677354.0 -938.72
39.82269163815829 -1.849138821354968 26.36615741139296 29.786795703547032 6913187.0 677352.0 -933.89
36.38787417338542 -2.5405953408015485 26.424178706175915 24.887457521340068 6913058.0 677349.0 -927.81
36.19225208259741 -8.472855197619253 26.23874185874099 23.443938689580442 6912928.0 677346.0 -921.64
41.348082198651866 -12.797442889940518 25.804301123033547 29.665255780744456 6912798.0 677343.0 -916.22
45.49681157695684 -10.28771227138122 25.418809240558307 36.30436580746857 6912667.0 677338.0 -911.29
45.404361376047945 -6.37779336656315 25.26427343979642 37.18327945864074 6912536.0 677333.0 -907.68
44.537027823538146 -5.68489779206255 25.451597796525235 36.103254064589876 6912406.0 677327.0 -905.46
