ALTURA GPSALT IGRF mag_res1 mag_res2 LAT LONG Line MAGIGRF X Y
110.23 805.17 22766.559 -77.19971390513024 -77.96268513286806 -27.841964 -49.133275 12180 -126.867 6918905.0 683827.0
132.96 810.89 22766.548 -78.2206536977707 -78.9003131433988 -27.840989 -49.133311 12180 -127.844 6919013.0 683825.0
133.01 817.13 22766.537 -79.34936813669655 -79.94554373461216 -27.840017 -49.133339 12180 -128.928 6919121.0 683824.0
108.07 824.56 22766.527 -78.86166138038908 -79.3751277223821 -27.839047 -49.133361 12180 -128.39600000000002 6919228.0 683823.0
84.1 831.6 22766.516 -77.63615046560041 -78.06596089427808 -27.838081 -49.133381 12180 -127.125 6919336.0 683823.0
111.96 835.58 22766.506 -78.85021835557835 -79.19714746273058 -27.837111 -49.133397 12180 -128.29399999999998 6919443.0 683823.0
146.77 839.52 22766.496 -79.35270744078983 -79.61598063462665 -27.836139000000006 -49.133417 12180 -128.751 6919551.0 683823.0
145.78 841.55 22766.486 -77.63119652600116 -77.81081380652267 -27.835161 -49.133431 12180 -126.984 6919659.0 683823.0
137.63 838.62 22766.476 -69.51752800167951 -69.61194018530566 -27.834172 -49.133444 12180 -118.824 6919769.0 683823.0
126.47 833.65 22766.466 -62.93128067259122 -62.93971316753211 -27.833169 -49.13345800000001 12180 -112.191 6919880.0 683823.0
155.45 828.88 22766.456 -60.773650380255184 -60.6943819373282 -27.83215 -49.133467 12180 -109.985 6919993.0 683824.0
185.58 825.05 22766.446 -62.34421592943823 -62.1762998912504 -27.831114000000003 -49.133467 12180 -111.506 6920107.0 683826.0
192.92 824.07 22766.437 -65.84939851537354 -65.59111363274225 -27.830069 -49.13345800000001 12180 -114.96 6920223.0 683829.0
187.76 826.48 22766.427000000003 -63.66022765025684 -63.31097139699491 -27.829017 -49.13345 12180 -112.72 6920340.0 683831.0
174.89 829.43 22766.417 -60.545831431425725 -60.105431741930225 -27.827961 -49.133444 12180 -109.554 6920457.0 683834.0
173.61 830.04 22766.408 -61.22966056630903 -60.6982895061829 -27.826903 -49.133436 12180 -110.187 6920574.0 683836.0
189.97 828.18 22766.398 -64.75891089642577 -64.13579387387901 -27.825836 -49.133436 12180 -113.665 6920692.0 683838.0
185.28 832.45 22766.388 -63.26116122654252 -62.5462982415752 -27.824772 -49.133436 12180 -112.116 6920810.0 683840.0
154.61 842.91 22766.378 -50.35021571514032 -49.5445534251452 -27.823722 -49.133447 12180 -99.155 6920927.0 683841.0
145.21 857.8 22766.367 -31.314457325466808 -30.420663637019448 -27.822692 -49.133467 12180 -80.072 6921041.0 683840.0
183.75 872.1 22766.356 -10.223856545326491 -9.243480642006766 -27.821678 -49.133497 12180 -58.935 6921153.0 683839.0
206.62 884.41 22766.345 -2.1178345699527057 -1.0516510435505566 -27.820678000000004 -49.13352800000001 12180 -50.783 6921264.0 683838.0
225.91 894.87 22766.334 -1.1346167530601008 0.016427739031769306 -27.819689 -49.133561 12180 -49.755 6921374.0 683836.0
232.56 905.57 22766.323 -1.0175565457004652 0.21679972850103724 -27.818708 -49.133594 12180 -49.594 6921482.0 683834.0
229.32 916.85 22766.312 -0.6802709846264251 0.6375691372876986 -27.817742 -49.133628 12180 -49.212 6921590.0 683833.0
246.12 928.61 22766.302000000003 0.9296316132000086 2.329234333643946 -27.816783 -49.133658 12180 -47.559 6921696.0 683831.0
245.93 940.0 22766.292 1.6551807599744135 3.1359435527610064 -27.815833 -49.133689 12180 -46.79 6921801.0 683830.0
224.83 951.56 22766.281000000006 3.505925748267764 5.066901956004244 -27.814894 -49.133719 12180 -44.897 6921905.0 683828.0
