Y X MAGIGRF
679220.09090909 6911130 -92.210179099693
679344.83471074 6911130 -81.854902006111
679469.5785124 6911130 -91.778881117592
679594.32231405 6911130 -93.602608890272
679719.0661157 6911130 -91.245684817913
679843.80991736 6911130 -81.070688132921
679968.55371901 6911130 -91.499215527928
680093.29752066 6911130 -93.929461773523
680218.04132231 6911130 -91.863193954555
680342.78512397 6911130 -81.731381079769
680467.52892562 6911130 -92.466762004531
680592.27272727 6911130 -94.995314943045
680717.01652893 6911130 -92.84060195243
680841.76033058 6911130 -81.849478964123
680966.50413223 6911130 -90.314926725901
681091.24793388 6911130 -90.161935887974
681215.99173554 6911130 -86.123812285706
681340.73553719 6911130 -75.477952916671
681465.47933884 6911130 -83.379268076909
681590.2231405 6911130 -84.602617789532
681714.96694215 6911130 -82.131435101474
681839.7107438 6911130 -72.959973838105
681964.45454545 6911130 -80.074571599956
682089.19834711 6911130 -80.547798717854
682213.94214876 6911130 -77.750002672348
682338.68595041 6911130 -69.316401882036
682463.42975207 6911130 -76.855736308671
682588.17355372 6911130 -78.724812774515
682712.91735537 6911130 -77.466339661285
682837.66115702 6911130 -69.749933691938
682962.40495868 6911130 -76.927212313198
683087.14876033 6911130 -77.560185446548
683211.89256198 6911130 -74.873960718524
683336.63636364 6911130 -66.587123445456
683461.38016529 6911130 -72.536929473638
683586.12396694 6911130 -73.125209676432
683710.8677686 6911130 -71.240302582134
683835.61157025 6911130 -64.481789831743
683960.3553719 6911130 -71.705673185701
684085.09917355 6911130 -73.903326402146
684209.84297521 6911130 -73.389175183284
684334.58677686 6911130 -66.72446074389
684459.33057851 6911130 -73.832871973417
684584.07438017 6911130 -74.60297429315
684708.81818182 6911130 -72.265003475169
684833.56198347 6911130 -64.580849388688
684958.30578512 6911130 -71.131155969391
685083.04958678 6911130 -72.288946405225
685207.79338843 6911130 -70.526070958877
685332.53719008 6911130 -63.08448654528
685457.28099174 6911130 -68.215380349505
685582.02479339 6911130 -67.814485364888
685706.76859504 6911130 -65.119948747072
685831.51239669 6911130 -58.40728492709
685956.25619835 6911130 -63.709952431542
686081 6911130 -64.799383106214
686205.74380165 6911130 -63.454489033894
686330.48760331 6911130 -57.529424236259
686455.23140496 6911130 -62.22129176899
686579.97520661 6911130 -62.062093846075
686704.71900826 6911130 -59.250149990576
686829.46280992 6911130 -53.128060049918
686954.20661157 6911130 -57.837072987534
687078.95041322 6911130 -59.397895491967
687203.69421488 6911130 -58.807946624236
687328.43801653 6911130 -53.974417431656
687453.18181818 6911130 -58.742685586264
687577.92561983 6911130 -59.292498034713
687702.66942149 6911130 -57.592234519192
687827.41322314 6911130 -51.930033006322
