ALTURA GPSALT LAT LONG Line MAGIGRF X Y
98.33 461.34 -16.130103 -51.235699 22720 347.361 8216652.82 474798.4
98.27 461.48 -16.130178 -51.235696 22720 348.054 8216644.53 474798.71
98.21 461.61 -16.130253 -51.235691 22720 348.734 8216636.23 474799.31
98.15 461.75 -16.130328 -51.235688 22720 349.392 8216627.94 474799.62
98.08 461.88 -16.130406 -51.235688 22720 350.029 8216619.33 474799.63
98.02 462.02 -16.130481 -51.235685 22720 350.644 8216611.04 474799.93
97.96 462.15 -16.130556 -51.23568 22720 351.24 8216602.74 474800.54
97.9 462.29 -16.130631 -51.235677 22720 351.792 8216594.45 474800.84
97.84 462.42 -16.130709 -51.235674 22720 352.298 8216585.84 474801.15
97.84 462.56 -16.130784 -51.235671 22720 352.743 8216577.55 474801.46
97.84 462.7 -16.130859 -51.235669 22720 353.117 8216569.25 474801.76
97.84 462.85 -16.130934 -51.235666 22720 353.408 8216560.96 474802.07
97.84 462.99 -16.131011 -51.235663 22720 353.61 8216552.35 474802.38
97.84 463.13 -16.131086 -51.23566 22720 353.721 8216544.06 474802.68
97.84 463.27 -16.131164 -51.235658 22720 353.752 8216535.45 474802.99
97.84 463.41 -16.131239 -51.235655 22720 353.72 8216527.16 474803.3
97.84 463.56 -16.131314 -51.235652 22720 353.645 8216518.86 474803.6
97.84 463.7 -16.131389 -51.235649 22720 353.557 8216510.57 474803.91
97.84 463.84 -16.131467 -51.235646 22720 353.473 8216501.96 474804.22
97.96 464.0 -16.131542 -51.235641 22720 353.399 8216493.67 474804.82
98.08 464.15 -16.131617 -51.235638 22720 353.352 8216485.37 474805.13
98.21 464.31 -16.131692 -51.235635 22720 353.353 8216477.08 474805.43
98.33 464.46 -16.13177 -51.235633 22720 353.412 8216468.47 474805.74
98.45 464.62 -16.131845 -51.23563 22720 353.533 8216460.18 474806.05
98.57 464.77 -16.13192 -51.235627 22720 353.717 8216451.88 474806.35
98.69 464.93 -16.131997 -51.235624 22720 353.963 8216443.28 474806.66
98.82 465.08 -16.132072 -51.235621 22720 354.27 8216434.98 474806.97
98.94 465.24 -16.132147 -51.235619 22720 354.623 8216426.69 474807.27
99.06 465.39 -16.132222 -51.235616 22720 355.01 8216418.39 474807.58
98.97 465.47 -16.1323 -51.235613 22720 355.413 8216409.79 474807.89
98.88 465.55 -16.132375 -51.235613 22720 355.818 8216401.49 474807.89
98.79 465.63 -16.132453 -51.23561 22720 356.214 8216392.89 474808.2
98.7 465.71 -16.132528 -51.235608 22720 356.585 8216384.59 474808.51
98.6 465.8 -16.132603 -51.235605 22720 356.917 8216376.3 474808.81
98.51 465.88 -16.132678 -51.235602 22720 357.187 8216368.0 474809.12
98.42 465.96 -16.132756 -51.235602 22720 357.407 8216359.4 474809.13
98.33 466.04 -16.132831 -51.235599 22720 357.574 8216351.1 474809.44
98.24 466.12 -16.132906 -51.235596 22720 357.687 8216342.8 474809.74
98.15 466.2 -16.132984 -51.235594 22720 357.76 8216334.2 474810.05
98.15 466.28 -16.133059 -51.235591 22720 357.809 8216325.91 474810.36
98.15 466.37 -16.133134 -51.235591 22720 357.837 8216317.61 474810.37
98.15 466.45 -16.133211 -51.235588 22720 357.837 8216309.01 474810.67
98.15 466.53 -16.133286 -51.235588 22720 357.805 8216300.71 474810.68
98.15 466.62 -16.133364 -51.235585 22720 357.763 8216292.11 474810.99
98.15 466.7 -16.133439 -51.235585 22720 357.719 8216283.81 474811.0
98.15 466.78 -16.133514 -51.235583 22720 357.689 8216275.51 474811.31
98.15 466.86 -16.133589 -51.235583 22720 357.691 8216267.22 474811.32
98.15 466.95 -16.133667 -51.23558 22720 357.741 8216258.61 474811.62
98.15 467.03 -16.133742 -51.23558 22720 357.848 8216250.32 474811.63
98.06 467.15 -16.133817 -51.235577 22720 357.982 8216242.02 474811.94
97.97 467.26 -16.133895 -51.235577 22720 358.148 8216233.42 474811.95
