GPSALT IGRF LAT LONG Line MAGIGRF MDT X Y
787.23 22764.086 -27.93047 -49.197409 12050 -83.367 538.35 6909193.0 677365.0
782.42 22764.097 -27.931666 -49.197443 12050 -84.15 497.01 6909060.0 677360.0
778.39 22764.108 -27.932859 -49.197472 12050 -83.351 464.88 6908928.0 677355.0
775.48 22764.12 -27.934054 -49.197492 12050 -79.323 433.86 6908796.0 677351.0
768.04 22764.132 -27.93525 -49.197503 12050 -73.757 410.33 6908663.0 677348.0
757.64 22764.145 -27.936452 -49.197507 12050 -67.945 413.53 6908530.0 677346.0
747.05 22764.158 -27.93766 -49.197505 12050 -66.129 441.36 6908396.0 677344.0
736.51 22764.172 -27.938874 -49.197493 12050 -67.655 468.73 6908262.0 677343.0
727.73 22764.187 -27.940094 -49.197472 12050 -67.072 499.96 6908126.0 677344.0
720.68 22764.201 -27.941318 -49.197442 12050 -65.706 531.22 6907991.0 677345.0
714.25 22764.217 -27.942545 -49.197404 12050 -65.453 540.59 6907855.0 677346.0
708.57 22764.233 -27.943773 -49.197355 12050 -65.909 544.97 6907718.0 677349.0
701.89 22764.249 -27.945002 -49.197297 12050 -66.169 535.18 6907582.0 677353.0
696.32 22764.266 -27.94623 -49.197225 12050 -66.029 510.3 6907446.0 677358.0
694.52 22764.284 -27.947461 -49.197155 12050 -67.508 492.01 6907310.0 677363.0
692.43 22764.301 -27.948689 -49.19709 12050 -70.904 468.39 6907173.0 677367.0
688.98 22764.318 -27.949909 -49.197005 12050 -69.991 425.21 6907038.0 677373.0
686.22 22764.337 -27.95112 -49.196895 12050 -64.358 388.91 6906904.0 677382.0
683.63 22764.356 -27.952327 -49.196797 12050 -60.783 342.38 6906770.0 677390.0
680.65 22764.372 -27.953533 -49.196741 12050 -57.471 335.97 6906636.0 677393.0
675.66 22764.386 -27.954737 -49.196737 12050 -54.022 366.49 6906503.0 677392.0
672.4 22764.397 -27.955938 -49.196778 12050 -53.311 421.02 6906370.0 677386.0
671.32 22764.407 -27.957134 -49.196838 12050 -53.344 439.75 6906237.0 677378.0
671.56 22764.416 -27.958321 -49.196914 12050 -52.283 449.07 6906106.0 677369.0
674.48 22764.425 -27.959497 -49.196997 12050 -50.901 453.47 6905976.0 677359.0
677.1 22764.434 -27.960663 -49.197074 12050 -52.115 460.35 6905847.0 677349.0
679.57 22764.444 -27.961826 -49.197126 12050 -55.573 486.98 6905718.0 677342.0
682.39 22764.456 -27.962987 -49.197151 12050 -55.149 548.57 6905589.0 677338.0
684.92 22764.469 -27.964148 -49.197151 12050 -54.411 557.63 6905461.0 677336.0
686.46 22764.482 -27.965309 -49.197142 12050 -52.899 541.84 6905332.0 677335.0
688.25 22764.496 -27.96647 -49.197118 12050 -50.636 562.03 6905203.0 677335.0
687.65 22764.512 -27.967633 -49.197078 12050 -47.981 581.04 6905074.0 677337.0
688.09 22764.527 -27.968797 -49.197024 12050 -45.74 578.02 6904945.0 677341.0
690.2 22764.544 -27.969961 -49.19696 12050 -43.14 549.91 6904816.0 677345.0
692.15 22764.561 -27.971123 -49.196884 12050 -41.626 540.05 6904687.0 677351.0
695.4 22764.579 -27.972281 -49.196786 12050 -41.888 538.34 6904559.0 677358.0
700.4 22764.598 -27.973433 -49.196678 12050 -42.533 507.27 6904431.0 677367.0
702.85 22764.616 -27.974582 -49.196573 12050 -42.968 488.99 6904304.0 677376.0
702.15 22764.634 -27.975731 -49.196476 12050 -42.963 473.56 6904176.0 677383.0
701.67 22764.651 -27.97688 -49.196404 12050 -42.598 456.08 6904049.0 677388.0
701.09 22764.665 -27.97803 -49.196387 12050 -41.328 420.71 6903921.0 677388.0
700.43 22764.675 -27.979179 -49.196446 12050 -39.087 369.9 6903794.0 677381.0
700.02 22764.682 -27.980325 -49.196561 12050 -37.343 335.53 6903667.0 677367.0
699.13 22764.689 -27.98147 -49.196683 12050 -37.682 329.3 6903540.0 677354.0
697.91 22764.696 -27.982617 -49.196799 12050 -39.664 345.2 6903414.0 677340.0
697.82 22764.703 -27.983764 -49.196907 12050 -40.986 389.22 6903287.0 677328.0
698.07 22764.711 -27.984913 -49.197005 12050 -40.262 435.4 6903160.0 677316.0
698.51 22764.719 -27.98606 -49.197097 12050 -38.914 476.2 6903032.0 677305.0
699.5 22764.729 -27.987209 -49.197169 12050 -37.36 458.62 6902905.0 677296.0
701.34 22764.74 -27.988359 -49.197211 12050 -36.09 461.1 6902778.0 677290.0
701.09 22764.754 -27.989511 -49.197196 12050 -35.385 505.73 6902650.0 677290.0
606.76 22765.04 -27.989446 -49.191715 12060 -34.925 372.77 6902649.0 677829.0
596.6 22765.027 -27.988457 -49.191734 12060 -35.854 345.97 6902759.0 677829.0
589.85 22765.015 -27.987454 -49.191747 12060 -38.201 336.1 6902870.0 677829.0
587.82 22765.003 -27.986447 -49.191754 12060 -41.352 331.89 6902982.0 677830.0
588.03 22764.991 -27.985442 -49.191758 12060 -44.13 324.85 6903093.0 677831.0
588.53 22764.979 -27.984443 -49.191768 12060 -45.19 307.43 6903204.0 677832.0
589.63 22764.968 -27.983449 -49.191778 12060 -44.191 301.21 6903314.0 677833.0
591.47 22764.956 -27.982461 -49.191793 12060 -42.546 316.59 6903424.0 677833.0
595.11 22764.944 -27.981477 -49.191807 12060 -39.309 373.67 6903533.0 677833.0
597.91 22764.932 -27.9805 -49.19182 12060 -36.495 401.81 6903641.0 677833.0
602.57 22764.92 -27.979531 -49.191836 12060 -35.053 417.39 6903748.0 677834.0
607.54 22764.908 -27.978574 -49.19185 12060 -34.902 433.21 6903854.0 677834.0
614.23 22764.897 -27.97763 -49.191857 12060 -35.09 455.68 6903959.0 677835.0
622.84 22764.887 -27.976701 -49.191856 12060 -35.202 477.37 6904062.0 677836.0
631.06 22764.877 -27.975786 -49.191848 12060 -35.964 533.66 6904163.0 677838.0
638.11 22764.866 -27.974882 -49.191852 12060 -37.844 564.73 6904263.0 677840.0
643.28 22764.855 -27.973986 -49.191868 12060 -39.111 566.36 6904363.0 677839.0
649.01 22764.845 -27.973098 -49.191883 12060 -40.317 576.8 6904461.0 677839.0
657.64 22764.834 -27.972222 -49.191899 12060 -42.001 573.76 6904558.0 677839.0
663.49 22764.824 -27.971354 -49.191911 12060 -43.061 566.82 6904654.0 677839.0
665.42 22764.813 -27.970486 -49.191918 12060 -43.311 559.19 6904751.0 677840.0
668.47 22764.803 -27.969615 -49.191935 12060 -44.186 566.58 6904847.0 677840.0
671.4 22764.792 -27.968744 -49.191947 12060 -45.392 557.3 6904944.0 677840.0
674.56 22764.782 -27.967869 -49.191956 12060 -47.72 526.01 6905041.0 677841.0
672.22 22764.772 -27.966987 -49.191967 12060 -50.834 508.77 6905138.0 677841.0
662.71 22764.761 -27.96609 -49.19198 12060 -52.782 501.15 6905238.0 677841.0
653.58 22764.75 -27.965173 -49.191998 12060 -53.516 498.33 6905339.0 677841.0
646.73 22764.738 -27.964236 -49.192014 12060 -53.595 516.12 6905443.0 677841.0
641.57 22764.727 -27.963281 -49.192029 12060 -53.376 508.02 6905549.0 677841.0
639.44 22764.716 -27.962312 -49.192038 12060 -51.72 515.87 6905657.0 677842.0
638.85 22764.705 -27.961333 -49.192038 12060 -49.501 485.28 6905765.0 677843.0
635.35 22764.693 -27.960345 -49.192047 12060 -46.971 456.28 6905875.0 677844.0
630.84 22764.682 -27.959348 -49.192057 12060 -46.941 417.14 6905985.0 677845.0
626.96 22764.669 -27.958341 -49.192081 12060 -49.851 375.1 6906097.0 677844.0
625.75 22764.657 -27.957325 -49.192097 12060 -53.47 354.95 6906209.0 677844.0
626.9 22764.646 -27.956301 -49.192092 12060 -55.754 348.77 6906323.0 677846.0
626.63 22764.635 -27.955274 -49.192081 12060 -57.298 343.94 6906436.0 677849.0
625.51 22764.624 -27.95425 -49.19208 12060 -58.378 363.26 6906550.0 677851.0
626.06 22764.612 -27.953232 -49.192101 12060 -59.514 400.74 6906663.0 677850.0
626.08 22764.598 -27.95222 -49.192141 12060 -59.874 447.42 6906775.0 677848.0
625.6 22764.585 -27.951213 -49.192181 12060 -59.876 473.91 6906887.0 677846.0
627.31 22764.573 -27.950211 -49.192209 12060 -60.063 494.85 6906998.0 677845.0
629.71 22764.56 -27.949212 -49.192235 12060 -60.964 504.76 6907108.0 677844.0
630.82 22764.548 -27.948214 -49.192252 12060 -62.141 509.65 6907219.0 677844.0
631.03 22764.537 -27.947219 -49.192269 12060 -63.722 498.84 6907329.0 677844.0
632.15 22764.525 -27.94623 -49.192287 12060 -65.93 481.23 6907439.0 677844.0
631.89 22764.513 -27.945245 -49.192304 12060 -68.907 485.26 6907548.0 677844.0
630.88 22764.501 -27.944261 -49.192325 12060 -68.742 502.55 6907657.0 677843.0
631.05 22764.489 -27.94328 -49.19235 12060 -68.533 502.69 6907766.0 677842.0
630.95 22764.477 -27.942302 -49.192381 12060 -68.772 486.71 6907874.0 677841.0
628.02 22764.464 -27.941327 -49.192418 12060 -66.418 508.93 6907982.0 677839.0
626.18 22764.452 -27.940349 -49.192453 12060 -62.206 494.58 6908091.0 677837.0
624.87 22764.44 -27.939372 -49.192482 12060 -58.719 471.36 6908199.0 677836.0
621.91 22764.428 -27.938393 -49.192502 12060 -58.786 458.27 6908308.0 677835.0
618.83 22764.416 -27.937413 -49.192533 12060 -61.669 428.35 6908416.0 677834.0
618.49 22764.403 -27.93643 -49.192575 12060 -67.952 411.99 6908525.0 677831.0
620.66 22764.39 -27.935453 -49.192625 12060 -71.622 417.95 6908634.0 677828.0
623.84 22764.378 -27.934485 -49.192656 12060 -73.395 436.89 6908741.0 677827.0
628.46 22764.367 -27.933523 -49.192668 12060 -76.43 475.8 6908847.0 677827.0
630.38 22764.357 -27.932567 -49.192665 12060 -80.682 522.05 6908953.0 677829.0
632.07 22764.347 -27.931617 -49.192656 12060 -79.463 566.63 6909059.0 677831.0
636.63 22764.337 -27.930673 -49.192645 12060 -81.978 594.09 6909163.0 677834.0
644.43 22764.328 -27.929741 -49.192627 12060 -80.98 572.61 6909266.0 677837.0
651.25 22764.319 -27.928819 -49.192609 12060 -80.808 574.32 6909369.0 677841.0
655.31 22764.311 -27.927904 -49.192578 12060 -81.757 561.19 6909470.0 677845.0
655.6 22764.304 -27.92699 -49.192533 12060 -82.162 533.86 6909571.0 677851.0
654.1 22764.296 -27.926075 -49.192489 12060 -83.092 530.94 6909672.0 677857.0
655.52 22764.288 -27.925159 -49.192457 12060 -81.931 547.38 6909774.0 677862.0
657.97 22764.279 -27.924244 -49.192442 12060 -80.607 519.87 6909875.0 677864.0
658.5 22764.269 -27.923328 -49.192438 12060 -80.779 478.19 6909977.0 677866.0
658.87 22764.259 -27.922413 -49.192456 12060 -83.203 439.83 6910078.0 677866.0
659.84 22764.247 -27.921499 -49.192503 12060 -84.046 433.92 6910180.0 677863.0
660.63 22764.234 -27.920586 -49.192561 12060 -83.831 429.06 6910281.0 677859.0
656.95 22764.221 -27.919672 -49.192623 12060 -83.982 428.99 6910382.0 677854.0
652.55 22764.208 -27.918754 -49.192684 12060 -84.362 437.42 6910484.0 677850.0
648.58 22764.195 -27.917831 -49.192741 12060 -85.042 439.13 6910586.0 677846.0
645.76 22764.182 -27.916904 -49.192804 12060 -85.729 441.85 6910689.0 677841.0
644.64 22764.169 -27.915976 -49.192865 12060 -87.115 445.78 6910792.0 677836.0
644.94 22764.156 -27.915049 -49.192924 12060 -89.73 452.02 6910895.0 677832.0
644.6 22764.143 -27.914124 -49.192985 12060 -94.363 472.2 6910997.0 677828.0
644.18 22764.13 -27.913202 -49.19305 12060 -97.124 511.19 6911100.0 677823.0
642.33 22764.117 -27.912281 -49.193116 12060 -98.432 509.35 6911202.0 677818.0
640.97 22764.104 -27.911362 -49.19317 12060 -97.851 490.52 6911304.0 677814.0
640.47 22764.092 -27.910446 -49.19322 12060 -96.753 479.09 6911405.0 677811.0
639.9 22764.08 -27.909531 -49.19326 12060 -97.391 488.91 6911507.0 677808.0
638.71 22764.069 -27.908618 -49.19329 12060 -94.536 522.52 6911608.0 677807.0
637.69 22764.059 -27.907707 -49.193297 12060 -91.237 547.74 6911709.0 677807.0
638.98 22764.05 -27.906799 -49.193285 12060 -91.76 556.72 6911810.0 677810.0
641.99 22764.042 -27.905894 -49.193269 12060 -91.839 570.92 6911910.0 677813.0
643.17 22764.034 -27.90499 -49.193245 12060 -92.259 579.76 6912010.0 677817.0
644.15 22764.026 -27.904088 -49.193219 12060 -94.408 600.0 6912110.0 677821.0
648.76 22764.017 -27.903189 -49.1932 12060 -92.589 605.86 6912209.0 677824.0
654.16 22764.008 -27.902294 -49.193193 12060 -91.562 595.68 6912309.0 677826.0
657.84 22763.999 -27.9014 -49.193195 12060 -84.381 581.03 6912408.0 677828.0
662.06 22763.989 -27.900509 -49.193203 12060 -80.369 557.19 6912506.0 677828.0
666.79 22763.979 -27.899621 -49.193225 12060 -78.601 553.14 6912605.0 677828.0
669.64 22763.968 -27.898734 -49.193261 12060 -78.649 538.78 6912703.0 677826.0
670.81 22763.955 -27.897847 -49.193321 12060 -81.718 512.72 6912802.0 677821.0
672.31 22763.942 -27.89696 -49.193395 12060 -85.019 484.16 6912900.0 677815.0
677.25 22763.93 -27.896078 -49.193461 12060 -86.238 488.25 6912998.0 677810.0
683.51 22763.918 -27.895203 -49.193507 12060 -87.085 489.76 6913095.0 677807.0
688.51 22763.908 -27.894332 -49.19354 12060 -89.032 509.93 6913191.0 677805.0
691.73 22763.897 -27.893464 -49.193562 12060 -90.691 558.19 6913287.0 677805.0
696.6 22763.888 -27.892603 -49.193573 12060 -92.101 593.67 6913383.0 677805.0
702.83 22763.879 -27.891752 -49.193579 12060 -93.508 609.61 6913477.0 677806.0
711.32 22763.87 -27.890914 -49.193581 12060 -95.202 591.78 6913570.0 677807.0
722.11 22763.862 -27.890091 -49.193579 12060 -96.48 578.4 6913661.0 677808.0
