ALTURA GPSALT LAT LONG Line MAGIGRF X Y
118.39 483.82 -16.127953 -51.226347 22740 416.426 8216891.77 475798.16
116.13 484.2 -16.129017 -51.226327 22740 420.582 8216774.09 475800.37
118.75 484.7 -16.130084 -51.226322 22740 433.575 8216656.1 475801.09
124.3 485.74 -16.131147 -51.226333 22740 449.694 8216538.42 475800.03
126.8 487.19 -16.132214 -51.226372 22740 450.782 8216420.42 475796.0
131.46 488.45 -16.133284 -51.226424 22740 454.466 8216302.12 475790.49
130.69 490.09 -16.134353 -51.226463 22740 455.841 8216183.81 475786.46
132.31 492.53 -16.135422 -51.22648 22740 465.78 8216065.51 475784.81
132.35 493.08 -16.136495 -51.226491 22740 468.26 8215946.91 475783.75
125.42 489.49 -16.137572 -51.226494 22740 456.358 8215827.69 475783.59
114.97 485.87 -16.138653 -51.226494 22740 448.728 8215708.16 475783.72
106.98 482.76 -16.139739 -51.226494 22740 435.768 8215588.02 475783.85
104.36 481.72 -16.140828 -51.226488 22740 413.737 8215467.57 475784.58
107.66 483.58 -16.141917 -51.226458 22740 380.945 8215347.12 475787.98
108.94 486.31 -16.143 -51.226416 22740 356.434 8215227.29 475792.57
109.3 489.42 -16.144083 -51.226366 22740 340.566 8215107.47 475798.04
114.3 491.46 -16.145164 -51.226324 22740 343.442 8214987.94 475802.63
120.12 494.65 -16.146239 -51.226305 22740 359.912 8214869.03 475804.84
124.54 498.98 -16.147308 -51.226302 22740 380.448 8214750.74 475805.27
126.55 503.71 -16.148381 -51.22631 22740 402.361 8214632.13 475804.51
128.2 509.49 -16.149445 -51.226316 22740 426.464 8214514.44 475804.04
135.21 518.41 -16.1505 -51.226313 22740 451.197 8214397.68 475804.47
138.75 527.9 -16.15155 -51.226308 22740 477.35 8214281.54 475805.19
136.79 536.75 -16.152589 -51.226305 22740 500.348 8214166.62 475805.61
124.79 543.16 -16.153622 -51.226313 22740 505.873 8214052.31 475804.85
110.58 547.03 -16.154656 -51.226324 22740 489.849 8213938.01 475803.79
102.59 550.32 -16.155681 -51.226333 22740 465.544 8213824.63 475803.02
116.25 552.91 -16.156706 -51.226344 22740 451.82 8213711.24 475801.96
123.93 557.31 -16.15772 -51.226349 22740 459.513 8213599.09 475801.49
140.14 561.42 -16.158731 -51.226355 22740 445.846 8213487.24 475801.02
147.46 563.42 -16.159739 -51.22636 22740 425.133 8213375.7 475800.54
150.24 564.39 -16.160744 -51.226366 22740 378.823 8213264.47 475800.07
146.79 567.19 -16.161747 -51.226371 22740 323.483 8213153.55 475799.6
149.66 573.36 -16.162744 -51.226371 22740 267.048 8213043.24 475799.72
145.94 580.82 -16.163733 -51.226374 22740 200.227 8212933.85 475799.55
127.31 589.49 -16.164711 -51.226377 22740 156.279 8212825.69 475799.37
122.65 600.23 -16.165672 -51.22638 22740 130.905 8212719.38 475799.19
126.28 612.93 -16.166619 -51.226385 22740 111.913 8212614.6 475798.71
119.18 623.96 -16.167558 -51.226402 22740 82.114 8212510.74 475797.04
107.41 629.77 -16.168494 -51.226419 22740 50.354 8212407.19 475795.38
105.28 631.98 -16.169431 -51.226441 22740 28.804 8212303.63 475793.11
125.67 632.4 -16.170372 -51.226463 22740 24.492 8212199.47 475790.85
152.52 631.43 -16.171317 -51.226494 22740 25.009 8212094.99 475787.7
173.66 627.79 -16.172272 -51.226524 22740 17.13 8211989.29 475784.55
183.91 619.73 -16.173242 -51.22656 22740 9.137 8211882.05 475780.81
178.22 606.8 -16.174236 -51.226585 22740 15.719 8211772.04 475778.26
164.53 591.96 -16.175256 -51.226596 22740 30.583 8211659.27 475777.2
150.48 577.78 -16.1763 -51.226585 22740 33.124 8211543.74 475778.51
132.47 565.27 -16.177364 -51.226555 22740 20.371 8211426.06 475781.91
117.17 555.48 -16.178444 -51.226521 22740 -4.067 8211306.54 475785.6
109.05 549.18 -16.179542 -51.226491 22740 -37.596 8211185.17 475789.0
113.6 546.18 -16.180642 -51.226463 22740 -44.128 8211063.49 475792.11
115.76 543.9 -16.181747 -51.226435 22740 -40.408 8210941.2 475795.21
105.95 542.54 -16.18285 -51.22641 22740 -42.778 8210819.22 475798.02
107.29 544.1 -16.18395 -51.226394 22740 -36.462 8210697.54 475799.93
108.93 547.74 -16.185042 -51.226394 22740 -56.195 8210576.79 475800.07
117.71 554.82 -16.186122 -51.226388 22740 -69.33 8210457.26 475800.79
131.98 564.12 -16.187186 -51.226383 22740 -56.651 8210339.58 475801.52
