 ALTURA GPSALT IGRF mag_res1 LAT LONG Line MAGIGRF X Y
76 345.67 1028.82 22763.367000000002 -31.469140921893363 -27.867935 -49.198747 12050 -87.336 6916124.0 677336.0
77 357.43 1025.78 22763.377 -32.568708151638184 -27.869096999999996 -49.198763 12050 -88.493 6915995.0 677332.0
78 363.31 1021.02 22763.388 -34.76405002766851 -27.870259000000004 -49.198782 12050 -90.745 6915866.0 677329.0
79 379.71 1016.86 22763.398999999998 -36.626038452646675 -27.871421 -49.198796 12050 -92.664 6915738.0 677325.0
80 395.65 1012.57 22763.41 -36.93815497496248 -27.872582 -49.198805 12050 -93.03200000000001 6915609.0 677323.0
81 412.3 1010.45 22763.422000000002 -35.492496850992765 -27.873741 -49.198808 12050 -91.64299999999999 6915480.0 677320.0
82 431.17 1007.86 22763.432999999997 -33.09203456854201 -27.874896999999997 -49.198808 12050 -89.29799999999999 6915352.0 677318.0
83 438.5 1005.21 22763.446 -31.358317420181066 -27.876049 -49.198785 12050 -87.617 6915225.0 677319.0
84 428.39 1002.13 22763.46 -30.29914956439105 -27.877194 -49.198737 12050 -86.609 6915098.0 677322.0
85 430.34 999.1 22763.475 -29.018756354886634 -27.878335999999997 -49.198678 12050 -85.37899999999999 6914971.0 677326.0
86 424.27 998.84 22763.49 -27.685784340615577 -27.879476 -49.198612 12050 -84.096 6914845.0 677330.0
87 416.86 998.36 22763.505 -27.602586972629993 -27.880613 -49.198544 12050 -84.06200000000001 6914719.0 677335.0
88 402.61 994.32 22763.52 -29.41596840941105 -27.881751 -49.198474 12050 -85.925 6914592.0 677340.0
89 396.51 989.13 22763.535 -32.36377104142547 -27.882892 -49.198408 12050 -88.92200000000001 6914466.0 677345.0
90 401.97 984.19 22763.549 -34.69960318563545 -27.884037 -49.198357 12050 -91.309 6914339.0 677348.0
91 404.35 979.25 22763.564 -36.212660683560074 -27.885184999999996 -49.198312 12050 -92.874 6914212.0 677350.0
92 405.11 973.55 22763.577999999998 -36.91107163253661 -27.886334 -49.198268 12050 -93.624 6914084.0 677353.0
93 410.6 967.29 22763.592 -36.608129130461236 -27.887483000000003 -49.198223999999996 12050 -93.37299999999999 6913957.0 677355.0
94 412.63 962.83 22763.605 -35.449990786866806 -27.888633000000002 -49.198195 12050 -92.26799999999999 6913829.0 677356.0
95 393.69 957.99 22763.618 -34.07027363850597 -27.889784000000002 -49.198173 12050 -90.941 6913702.0 677357.0
96 399.38 950.37 22763.63 -32.81358600234057 -27.890938000000002 -49.198159999999994 12050 -89.73899999999999 6913574.0 677356.0
97 395.5 943.77 22763.642999999996 -31.178898366175304 -27.892097999999997 -49.19815 12050 -88.15899999999999 6913446.0 677355.0
98 382.86 938.72 22763.655 -29.526789534776597 -27.893262 -49.198142 12050 -86.56200000000001 6913317.0 677354.0
99 374.85 933.89 22763.667 -27.101484861858914 -27.894428 -49.198142 12050 -84.193 6913187.0 677352.0
100 351.68 927.81 22763.679 -24.002826737889237 -27.895597 -49.19815 12050 -81.15100000000001 6913058.0 677349.0
