 ALTURA GPSALT IGRF mag_res1 mag_res2 LAT LONG Line MAGIGRF X Y
16 188.99 1218.88 22762.656000000003 24.505576067657216 26.40125827550304 -27.798895 -49.199692999999996 12050 -28.124000000000002 6923775.0 677355.0
17 201.32 1211.4 22762.668999999998 24.400203350666764 26.194758165233843 -27.800074 -49.199655 12050 -28.283 6923644.0 677357.0
18 215.25 1201.92 22762.682 25.306605279961786 26.999860635647245 -27.801257 -49.199626 12050 -27.430999999999997 6923513.0 677358.0
19 220.33 1196.06 22762.694 27.21500720925681 28.8069631060607 -27.802443 -49.199594 12050 -25.576999999999998 6923382.0 677359.0
20 224.01 1194.99 22762.707000000002 28.73783033378517 30.227712179917617 -27.803628000000003 -49.199565 12050 -24.109 6923250.0 677360.0
21 230.22 1192.32 22762.718999999997 30.763585714132216 32.15277062757026 -27.804808 -49.19954 12050 -22.138 6923120.0 677360.0
22 221.84 1188.36 22762.731 32.829987643427245 34.11787309798372 -27.805984000000002 -49.199518 12050 -20.125999999999998 6922989.0 677361.0
23 224.04 1184.62 22762.743 34.106743023774285 35.2939315456363 -27.807158 -49.199498999999996 12050 -18.904 6922859.0 677361.0
24 224.78 1178.65 22762.754 35.58927305040682 36.6755925739716 -27.808331 -49.199484999999996 12050 -17.477 6922729.0 677360.0
25 225.6 1172.55 22762.766 35.96502843075386 36.95065102162424 -27.809506 -49.19947 12050 -17.156 6922599.0 677360.0
26 224.81 1168.73 22762.778 34.118205006334364 35.002356072720346 -27.810684000000002 -49.199443 12050 -19.058 6922468.0 677360.0
27 216.02 1166.06 22762.791 31.280185740395932 32.06381193969028 -27.811860999999997 -49.199413 12050 -21.95 6922338.0 677361.0
28 217.65 1162.37 22762.803 29.454391828172014 30.137665225977614 -27.813036999999998 -49.199382 12050 -23.829 6922208.0 677363.0
29 206.36 1156.71 22762.816000000003 29.364568403752518 29.946370277073722 -27.814213 -49.199353 12050 -23.974 6922077.0 677363.0
30 197.84 1150.85 22762.827 28.414098430385042 28.89503130540896 -27.81539 -49.199345 12050 -24.98 6921947.0 677362.0
31 182.85 1144.91 22762.837000000003 23.54937359110747 23.928146679235677 -27.816568 -49.199369 12050 -29.903000000000002 6921816.0 677358.0
32 182.3 1138.23 22762.845 21.483551495452886 21.760423191666888 -27.817749 -49.199416 12050 -32.029 6921686.0 677351.0
33 198.64 1132.84 22762.854 22.125797143979742 22.299390330302376 -27.818932 -49.199458 12050 -31.447 6921554.0 677345.0
34 210.17 1126.71 22762.863999999998 22.77607230470205 22.847505704129095 -27.820119000000002 -49.199487 12050 -30.855 6921423.0 677341.0
35 207.62 1118.5 22762.874 23.92976866065794 23.89826768139928 -27.821309999999997 -49.199501 12050 -29.76 6921291.0 677337.0
36 216.5 1111.68 22762.885 27.084915724042865 26.95082449730416 -27.822506 -49.199508 12050 -26.662 6921159.0 677335.0
37 250.36 1105.36 22762.896 29.99425862894661 29.75663049733516 -27.823703000000002 -49.199512 12050 -23.811 6921026.0 677332.0
38 272.84 1098.55 22762.907000000003 30.949826887564992 30.60883391668356 -27.824897999999997 -49.19952 12050 -22.913 6920893.0 677330.0
39 280.23 1093.54 22762.917999999998 30.73332740200194 30.290346709827567 -27.826089 -49.199523 12050 -23.186999999999998 6920762.0 677327.0
40 279.55 1091.22 22762.93 27.166699819101265 26.62130094504985 -27.827272999999998 -49.199521000000004 12050 -26.81 6920630.0 677326.0
41 280.43 1087.88 22762.942000000003 22.093229845733795 21.446961973385086 -27.82845 -49.19951 12050 -31.939 6920500.0 677325.0
42 269.86 1085.86 22762.953999999998 15.778985226080842 15.032020421037728 -27.829621999999997 -49.199488 12050 -38.308 6920370.0 677325.0
43 257.39 1083.96 22762.967 10.40554476490906 9.558829684564195 -27.830788000000002 -49.199458 12050 -43.735 6920241.0 677326.0
44 276.99 1079.73 22762.98 7.098329657451693 6.152036367408009 -27.831951 -49.199418 12050 -47.095 6920112.0 677328.0
45 273.62 1074.82 22762.993 8.025339903708833 6.979640469569233 -27.833113 -49.19937 12050 -46.22 6919983.0 677331.0
46 241.9 1071.35 22763.007 10.379575503680499 9.234641991047738 -27.834273 -49.199315999999996 12050 -43.917 6919854.0 677335.0
47 226.82 1070.25 22763.022 12.425389908418708 11.181996909082784 -27.835427000000003 -49.199256 12050 -41.922 6919726.0 677339.0
