 index ALTURA GPSALT IGRF mag_res reg LAT LONG Line MAGIGRF X Y
75 3468 231.66 821.45 22766.534 -64.92445853814093 -51.00354146185907 -27.862971999999996 -49.137614 12170 -115.928 6916584.0 683364.0
76 3469 189.22 816.54 22766.542 -63.33170182902885 -51.063298170971144 -27.864136 -49.137664 12170 -114.395 6916455.0 683357.0
77 3470 148.47 813.48 22766.551 -62.60252392468344 -51.12347607531656 -27.865311 -49.137714 12170 -113.726 6916325.0 683350.0
78 3471 151.89 811.91 22766.561 -62.22105292244218 -51.18294707755781 -27.866497 -49.137747 12170 -113.404 6916193.0 683345.0
79 3472 149.29 813.19 22766.572 -61.33735656648629 -51.2416434335137 -27.867686 -49.137761 12170 -112.579 6916061.0 683341.0
80 3707 150.89 727.53 22766.835 -58.27702976546833 -50.88897023453167 -27.868083000000002 -49.132858 12180 -109.166 6916010.0 683824.0
81 3708 192.55 721.44 22766.824 -59.524548362875365 -50.84545163712464 -27.867116999999997 -49.132886 12180 -110.37 6916117.0 683822.0
82 3709 178.54 713.45 22766.813 -60.85145864332016 -50.79954135667985 -27.866133 -49.132906 12180 -111.65100000000001 6916226.0 683822.0
83 3710 143.99 704.39 22766.802000000003 -61.830211314231846 -50.75278868576815 -27.865130999999998 -49.132922 12180 -112.583 6916337.0 683822.0
84 3711 104.71 695.78 22766.792 -62.78300221712941 -50.7039977828706 -27.864108 -49.132936 12180 -113.48700000000001 6916451.0 683823.0
85 3712 79.09 691.84 22766.78 -63.43066502268934 -50.656334977310664 -27.863072 -49.132958 12180 -114.087 6916566.0 683822.0
86 3713 63.27 693.97 22766.767999999996 -64.28032782824937 -50.60867217175062 -27.862030999999998 -49.132994000000004 12180 -114.889 6916681.0 683821.0
87 3714 68.14 701.72 22766.756 -65.68744134123835 -50.562558658761645 -27.860996999999998 -49.133039000000004 12180 -116.25 6916796.0 683818.0
88 3715 99.02 709.17 22766.743 -67.1283590127085 -50.5176409872915 -27.859969 -49.133092 12180 -117.646 6916910.0 683814.0
89 3716 137.47 716.74 22766.73 -68.77240478151614 -50.47159521848385 -27.85895 -49.133136 12180 -119.244 6917023.0 683812.0
90 3717 147.73 723.79 22766.717999999997 -70.20525470880487 -50.42674529119513 -27.857939000000002 -49.133181 12180 -120.632 6917135.0 683809.0
