Line,X,Y,Bx,By,Bz,Bm,Bm_res
5,14.0,-22.4083888972,157.189837458,25697.4,-43425.0537783,50459.0563829,8.90653463216
5,14.0,-22.4718871823,156.906994745,25697.9,-43425.760885,50459.9186747,9.51078123161
5,14.0,-22.5050167224,153.866435586,25697.8,-43425.548753,50459.6758236,8.80009420555
5,14.0,-22.5574718275,155.775623895,25697.2,-43426.0437278,50459.8020976,9.3792130596
5,14.0,-22.5933621626,155.139227792,25697.1,-43425.9730171,50459.6883568,10.5153637233
5,14.0,-22.6513388578,155.20993847,25696.8,-43426.1851491,50459.71836,11.0309470403
5,14.0,-22.7010331679,158.109076273,25696.6,-43426.5387025,50459.9297831,12.4322574012
5,14.0,-22.734162708,158.533340342,25698.0,-43425.9730171,50460.1572461,12.9378573058
5,14.0,-22.7921394031,157.048416102,25698.6,-43425.336621,50459.9104915,12.4143751397
5,14.0,-22.8363121232,155.98775593,25698.9,-43426.1144384,50460.7293706,13.3061447014
5,14.0,-22.8970496134,151.745115243,25699.2,-43426.5387025,50461.2343379,13.4842050699
5,14.0,-22.9771126686,149.270241508,25697.9,-43426.6094132,50460.6257506,12.623385966
5,14.0,-23.0212853887,147.431763877,25697.9,-43426.7508345,50460.7420534,13.5328170134
5,14.0,-23.0571757238,142.906280478,25698.0,-43428.4478908,50462.2404617,15.7172733332
5,14.0,-23.1013484439,143.542676581,25696.9,-43429.3671296,50462.4732191,16.2777052817
5,14.0,-23.139999574,143.96694065,25697.1,-43428.8014442,50462.0894313,15.9770145585
5,14.0,-23.1896938841,145.876128959,25696.7,-43429.1549976,50462.1954986,16.1351190329
5,14.0,-23.2393881942,144.532626075,25696.7,-43430.0742364,50462.9827572,16.9752071127
5,14.0,-23.2780393243,144.461915396,25696.3,-43431.1348966,50463.6917133,18.0643410987
5,14.0,-23.3111688644,148.775266762,25695.6,-43432.0541354,50464.138949,18.8670406836
5,14.0,-23.3719063545,144.108362006,25696.1,-43433.3269276,50465.4754305,20.8785231364
5,14.0,-23.4326438447,142.269884375,25696.3,-43434.1754557,50466.3023406,21.9693411158
5,14.0,-23.4961421298,141.845620306,25696.3,-43435.4482479,50467.396588,22.9686997736
5,14.0,-23.565162005,137.461558263,25696.7,-43434.3168771,50466.6144015,22.4803099162
5,14.0,-23.6176171101,139.017193181,25696.6,-43433.6097703,50465.9591707,22.5485601083
5,14.0,-23.6838761903,137.956533009,25696.1,-43434.2461664,50466.2493877,23.5421916986
5,14.0,-23.7390920904,136.613030125,25696.2,-43434.1754557,50466.2357927,23.2093071253
5,14.0,-23.7998295806,140.007142675,25696.2,-43434.3168771,50466.3668102,23.3822809153
5,14.0,-23.8467630957,140.219274709,25696.3,-43434.1047451,50466.2357437,23.3244207133
5,14.0,-23.8936966108,144.108362006,25696.0,-43435.0239839,50466.8851,23.7598386068
5,14.0,-23.968238076,146.158971671,25695.6,-43435.2361159,50466.8699074,23.4371056919
5,14.0,-24.0372579511,146.653946418,25695.6,-43434.4582985,50466.2019021,22.8652920628
5,14.0,-24.1117994163,148.916688118,25695.8,-43432.7612422,50464.8497763,21.9430465672
5,14.0,-24.1752977015,148.209581337,25696.0,-43431.912714,50464.2192457,21.170375731
5,14.0,-24.2305136016,147.573185234,25696.2,-43431.5591606,50464.0149355,21.4635581126
5,14.0,-24.2912510917,148.351002693,25696.6,-43431.6298713,50464.2817531,22.146889216
5,14.0,-24.3575101719,149.906637612,25696.8,-43431.48845,50464.2664786,22.815392582
5,14.0,-24.4265300471,149.694505577,25696.8,-43430.8520539,50463.7181429,22.5113519631
5,14.0,-24.5010715123,154.078567621,25696.1,-43431.9834247,50464.3486,22.5736099947
