LINE,X,Y,Bx,By,Bz,Bm,DIST_ABS,MAG_REGIONAL,MAG_MOD,mag_res
         10,18.000000,-41.489000,927.300000,25987.500000,-43285.683000,50496.142000,6.420000,50306.634222,50521.869843,189.507778
         10,18.000000,-41.537000,924.401000,25991.200000,-43287.592000,50499.630000,6.468000,50306.175030,50523.756444,193.454970
         10,18.000000,-41.593000,923.764000,25993.000000,-43288.229000,50501.090000,6.524000,50305.639442,50525.994090,195.450558
         10,18.000000,-41.647000,913.016000,25994.000000,-43290.209000,50503.107000,6.578000,50305.123121,50528.189685,197.983879
         10,18.000000,-41.697000,908.844000,25995.800000,-43291.411000,50504.988000,6.628000,50304.645167,50530.256263,200.342833
         10,18.000000,-41.766000,912.238000,25997.600000,-43292.966000,50507.309000,6.697000,50303.985782,50533.162047,203.323218
         10,18.000000,-41.831000,915.491000,26000.000000,-43295.512000,50510.786000,6.762000,50303.364825,50535.957494,207.421175
         10,18.000000,-41.876000,904.955000,26004.800000,-43295.865000,50513.370000,6.807000,50302.935047,50537.926355,210.434953
         10,18.000000,-41.932000,900.147000,26007.100000,-43296.714000,50515.195000,6.863000,50302.400344,50540.415393,212.794656
         10,18.000000,-41.968000,905.874000,26006.300000,-43298.199000,50516.158000,6.899000,50302.056684,50542.038543,214.101316
         10,18.000000,-42.021000,909.481000,26008.900000,-43298.552000,50517.865000,6.952000,50301.550849,50544.461433,216.314151
         10,18.000000,-42.098000,907.218000,26013.400000,-43300.815000,50522.080000,7.029000,50300.816191,50548.053080,221.263809
         10,18.000000,-42.140000,905.167000,26016.400000,-43301.876000,50524.497000,7.071000,50300.415585,50550.048450,224.081415
         10,18.000000,-42.202000,903.753000,26017.500000,-43303.149000,50526.129000,7.133000,50299.824364,50553.041556,226.304636
         10,18.000000,-42.247000,894.702000,26020.100000,-43305.553000,50529.368000,7.178000,50299.395365,50555.249950,229.972635
         10,18.000000,-42.286000,890.672000,26023.600000,-43306.755000,50532.129000,7.217000,50299.023642,50557.188682,233.105358
         10,18.000000,-42.345000,888.763000,26026.400000,-43308.523000,50535.052000,7.276000,50298.461426,50560.165933,236.590574
         10,18.000000,-42.408000,885.581000,26029.900000,-43311.280000,50539.163000,7.339000,50297.861273,50563.404740,241.301727
         10,18.000000,-42.479000,887.702000,26033.000000,-43313.684000,50542.857000,7.410000,50297.185133,50567.129972,245.671867
         10,18.000000,-42.547000,889.257000,26034.700000,-43314.674000,50544.608000,7.478000,50296.537781,50570.773763,248.070219
         10,18.000000,-42.627000,889.823000,26037.100000,-43316.089000,50547.066000,7.558000,50295.776468,50575.157528,251.289532
         10,18.000000,-42.678000,882.186000,26042.300000,-43318.917000,50552.035000,7.609000,50295.291286,50578.007819,256.743714
