LINE,X,Y,Bm
         10,18.000000,-50.492000,-12.184802
         10,18.000000,-50.566000,-18.836301
         10,18.000000,-50.631000,-24.788639
         10,18.000000,-50.685000,-29.810279
         10,18.000000,-50.747000,-35.659959
         10,18.000000,-50.816000,-42.273509
         10,18.000000,-50.890000,-49.484249
         10,18.000000,-50.991000,-59.516304
         10,18.000000,-51.098000,-70.373679
         10,18.000000,-51.208000,-81.768027
         10,18.000000,-51.303000,-91.786855
         10,18.000000,-51.366000,-98.516704
         10,18.000000,-51.422000,-104.553252
         10,18.000000,-51.499000,-112.932866
         10,18.000000,-51.574000,-121.177892
         10,18.000000,-51.663000,-131.060271
         10,18.000000,-51.746000,-140.364207
         10,18.000000,-51.805000,-147.024665
         10,18.000000,-51.883000,-155.883880
         10,18.000000,-51.966000,-165.370878
         10,18.000000,-52.052000,-175.256612
         10,18.000000,-52.150000,-186.578304
         10,18.000000,-52.239000,-196.900240
         10,18.000000,-52.332000,-207.713836
         10,18.000000,-52.400000,-215.630953
         10,18.000000,-52.459000,-222.502751
         10,18.000000,-52.516000,-229.140440
         10,18.000000,-52.563000,-234.610522
         10,18.000000,-52.620000,-241.238003
         10,18.000000,-52.679000,-248.087436
         10,18.000000,-52.745000,-255.732503
         10,18.000000,-52.792000,-261.163186
         10,18.000000,-52.864000,-269.456225
         10,18.000000,-52.911000,-274.849946
         10,18.000000,-52.953000,-279.654947
         10,18.000000,-53.006000,-285.696298
         10,18.000000,-53.042000,-289.784617
         10,18.000000,-53.104000,-296.794153
         10,18.000000,-53.173000,-304.544101
         10,18.000000,-53.241000,-312.124069
         10,18.000000,-53.300000,-318.650405
         10,18.000000,-53.351000,-324.251368
         10,18.000000,-53.396000,-329.160444
         10,18.000000,-53.431000,-332.956277
         10,18.000000,-53.476000,-337.806719
         10,18.000000,-53.514000,-341.875457
         10,18.000000,-53.553000,-346.024420
         10,18.000000,-53.598000,-350.776692
         10,18.000000,-53.630000,-354.132540
         10,18.000000,-53.663000,-357.572157
         10,18.000000,-53.696000,-360.989806
         10,18.000000,-53.737000,-365.204558
         10,18.000000,-53.788000,-370.397246
         10,18.000000,-53.838000,-375.432475
         10,18.000000,-53.889000,-380.509745
         10,18.000000,-53.931000,-384.645197
         10,18.000000,-53.978000,-389.222492
         10,18.000000,-54.026000,-393.840689
