LINE,X,Y,Bm
         10,18.000000,-43.186000,313.383932
         10,18.000000,-43.249000,318.064523
         10,18.000000,-43.329000,324.117559
         10,18.000000,-43.406000,330.061317
         10,18.000000,-43.480000,335.884335
         10,18.000000,-43.567000,342.871906
         10,18.000000,-43.647000,349.434901
         10,18.000000,-43.721000,355.625307
         10,18.000000,-43.796000,362.018777
         10,18.000000,-43.855000,367.134143
         10,18.000000,-43.906000,371.617667
         10,18.000000,-43.959000,376.338452
         10,18.000000,-44.018000,381.668219
         10,18.000000,-44.075000,386.892850
         10,18.000000,-44.137000,392.661172
         10,18.000000,-44.203000,398.900735
         10,18.000000,-44.265000,404.856501
         10,18.000000,-44.322000,410.413674
         10,18.000000,-44.378000,415.950519
         10,18.000000,-44.432000,421.362891
         10,18.000000,-44.470000,425.215159
