 index dobs regional res_data x y z
40 2883 -96.8641357234889 -49.47801261408684 -47.38612310940206 -900.9229625500739 -4641.405631446862 -146.51999999999998
41 2884 -97.97071855804366 -49.35758499203728 -48.613133566006375 -796.9229625500739 -4643.405631446862 -145.98000000000002
42 2885 -93.83201811162796 -49.23682493028399 -44.59519318134397 -692.9229625500739 -4644.405631446862 -146.49
43 2886 -107.68632539408857 -49.116064868530685 -58.570260525557885 -588.9229625500739 -4645.405631446862 -146.49
44 2887 -101.30454367395666 -48.993808016098086 -52.31073565785857 -483.92296255007386 -4645.405631446862 -145.76
45 2888 -106.80454792390452 -48.870386812689944 -57.93416111121458 -377.92296255007386 -4645.405631446862 -145.64999999999998
46 2889 -104.27494145157932 -48.7477975205536 -55.527143931025726 -272.92296255007386 -4644.405631446862 -149.26
47 2890 -112.88068302951174 -48.62454334900977 -64.25613968050197 -167.92296255007386 -4641.405631446862 -153.63
48 2891 -106.71045965467324 -48.502785968145226 -58.20767368652802 -63.92296255007386 -4639.405631446862 -156.97000000000003
49 2892 -105.80063302504118 -48.38252537795998 -57.4181076470812 39.07703744992614 -4638.405631446862 -163.21000000000004
50 2893 -105.17627336416224 -48.26143287650293 -56.91484048765931 143.07703744992614 -4638.405631446862 -168.84000000000003
51 2894 -117.89836405122264 -48.14266907699698 -69.75569497422566 245.07703744992614 -4638.405631446862 -172.91999999999996
52 2895 -111.62265818707792 -48.02274092651548 -63.599917260562435 348.07703744992614 -4638.405631446862 -177.12
53 2896 -110.42123630975465 -47.90397712700953 -62.517259182745114 450.07703744992614 -4638.405631446862 -181.90999999999997
54 2897 -109.58142893142711 -47.785213327503584 -61.79621560392353 552.0770374499261 -4638.405631446862 -186.51999999999998
55 2898 -108.94095244315264 -47.66877822994873 -61.27217421320391 652.0770374499261 -4638.405631446862 -193.01999999999998
56 2899 -106.08400440568448 -47.55201069269013 -58.53199371299435 752.0770374499261 -4637.405631446862 -200.17999999999995
57 2900 -102.78745655145636 -47.43640750640708 -55.35104904504928 851.0770374499261 -4636.405631446862 -206.96000000000004
