X,Y,Z
-1560.3194481693208,-4170.902238267125,-329.88
-1628.2294481694698,-4172.602238267136,-334.71000000000004
-1695.8294481700286,-4175.49223826715,-340.02
-1763.1294481698424,-4178.982238267141,-345.28
-1830.429448169656,-4183.052238267148,-350.30999999999995
-1897.7194481696934,-4187.432238267153,-355.17999999999995
-1964.7094481699169,-4192.102238267136,-359.95000000000005
-2031.6994481701404,-4195.882238267164,-364.30999999999995
-2098.6894481694326,-4199.062238267157,-367.80999999999995
-2165.679448169656,-4201.062238267157,-370.79999999999995
-2232.9694481696934,-4202.472238267132,-373.40999999999997
-2300.569448169321,-4203.282238267129,-375.12
-2368.47944816947,-4203.49223826715,-375.59000000000003
-2437.3094481695443,-4203.712238267122,-375.28999999999996
-2506.4494481701404,-4203.922238267143,-373.24
-2576.8094481695443,-4203.542238267139,-370.0
-2647.47944816947,-4201.672238267143,-366.48
-2719.069448169321,-4198.622238267155,-363.54999999999995
-2790.9694481696934,-4194.082238267118,-362.33000000000004
-2863.7794481692836,-4189.542238267139,-363.37
-2936.5994481695816,-4184.702238267171,-364.98
-3010.0294481692836,-4180.162238267134,-367.03
-3083.769448169507,-4175.912238267134,-368.57000000000005
-3157.819448169321,-4171.372238267155,-369.24
-3232.47944816947,-4167.422238267143,-369.53
-3307.4494481701404,-4164.0722382671665,-370.02
-3383.0394481699914,-4161.902238267125,-370.96000000000004
-3458.619448170066,-4160.622238267155,-372.47
-3534.209448169917,-4159.6422382671735,-373.88
-3610.409448170103,-4159.852238267136,-373.85
-3687.22944816947,-4160.942238267162,-372.59000000000003
-3764.049448169768,-4163.52223826712,-372.63
-3841.179448169656,-4167.292238267139,-372.95000000000005
-3918.3094481695443,-4172.842238267127,-373.05999999999995
-3995.4494481701404,-4179.282238267129,-373.55999999999995
-4072.5794481700286,-4185.722238267132,-374.63
-4150.019448169507,-4191.862238267146,-375.59000000000003
-4076.5594481695443,-3653.6522382671246,-342.77
-3999.429448169656,-3653.442238267162,-343.77
-3922.3094481695443,-3654.132238267164,-345.02
-3845.1894481694326,-3655.702238267171,-346.38
-3767.7594481697306,-3658.1722382671433,-347.6
-3690.019448169507,-3661.232238267141,-348.05999999999995
-3612.2894481699914,-3664.2922382671386,-347.30999999999995
-3533.9394481694326,-3667.6522382671246,-345.84000000000003
-3454.9694481696934,-3670.412238267134,-343.74
-3376.0094481697306,-3673.1722382671433,-340.86
-3296.119448170066,-3675.6422382671735,-336.98
-3215.9194481698796,-3677.52223826712,-331.25
-3134.799448169768,-3678.5022382671596,-325.55999999999995
-3053.069448169321,-3678.9022382671246,-320.91999999999996
-2970.7194481696934,-3678.4022382671246,-317.21000000000004
-2887.7594481697306,-3677.012238267169,-313.86
-2804.4894481692463,-3675.0322382671293,-310.29999999999995
-2720.5994481695816,-3672.4622382671223,-306.84000000000003
-2636.3994481693953,-3670.482238267141,-303.65
-2551.8994481693953,-3669.092238267127,-300.84000000000003
-2467.0994481695816,-3668.0022382671596,-298.28999999999996
-2381.6694481698796,-3668.1022382671363,-295.90999999999997
-2296.249448169954,-3668.5022382671596,-293.89
-2211.139448169619,-3669.7922382671386,-292.46000000000004
-2125.4194481698796,-3671.6722382671433,-290.77
-2039.6894481694326,-3674.1522382671246,-289.62
-1954.269448169507,-3676.3222382671665,-289.48
-1868.8494481695816,-3678.2122382671223,-289.97
-1783.429448169656,-3679.4922382671502,-290.02
-1698.3194481693208,-3680.192238267162,-288.15
-1612.8994481693953,-3679.9922382671502,-284.55999999999995
