 index dobs regional res_data tfa_true x y z
107 3145 441.98248564176896 446.5791135527692 -4.596627911000212 -7.662303717889864 -3971.922962550074 -4121.405631446862 -26.450000000000045
108 3146 436.3430107010324 446.71785313491023 -10.374842433877802 -8.579603251813554 -3850.922962550074 -4125.405631446862 -22.529999999999973
109 3147 440.2724642502971 446.8569218773275 -6.584457627030417 -9.572999357336778 -3729.922962550074 -4128.405631446862 -18.58000000000004
110 3148 445.2664638247942 446.99730726085 -1.7308434360558067 -10.664364421487257 -3608.922962550074 -4127.405631446862 -17.090000000000032
111 3149 443.12256866770264 447.13686431520046 -4.014295647497818 -11.821086635958855 -3488.922962550074 -4125.405631446862 -13.490000000000009
112 3150 436.59963123437205 447.2787363484475 -10.679105114075469 -13.083995295689869 -3366.922962550074 -4123.405631446862 -8.409999999999968
113 3151 434.60433105858885 447.41945089224623 -12.815119833657377 -14.445228462185083 -3245.922962550074 -4121.405631446862 -4.25
114 3152 432.8569439671236 447.55917795521617 -14.702233988092587 -15.93418693685976 -3124.922962550074 -4122.405631446862 -3.419999999999959
115 3153 422.8240778529941 447.69890501818605 -24.87482716519196 -17.53226830902201 -3003.922962550074 -4123.405631446862 -2.67999999999995
116 3154 434.8148669752619 447.83830292087964 -13.023435945617734 -19.251370460040253 -2882.922962550074 -4125.405631446862 -3.6000000000000227
117 3155 423.4476342325022 447.97472752412403 -24.52709329162184 -21.075444953943386 -2763.922962550074 -4129.405631446862 -8.940000000000055
118 3156 429.282154481734 448.1091663087481 -18.827011827014132 -23.025384244827578 -2646.922962550074 -4132.405631446862 -21.480000000000018
119 3157 416.3133311502202 448.23930429585516 -31.92597314563494 -25.031921682620123 -2533.922962550074 -4134.405631446862 -37.91999999999996
120 3158 415.20182613947804 448.36795563323767 -33.16612949375963 -27.058236091569622 -2421.922962550074 -4137.405631446862 -48.0
121 3159 422.27288834086704 448.4966069706201 -26.22371862975308 -29.124922714050243 -2309.922962550074 -4140.405631446862 -51.210000000000036
122 3160 415.2928262980836 448.62525830800257 -33.33243200991899 -31.24894907963542 -2197.922962550074 -4143.405631446862 -50.120000000000005
123 3161 411.0761189388512 448.75506713483344 -37.67894819598223 -33.466633050170024 -2084.922962550074 -4146.405631446862 -47.97000000000003
124 3162 406.8381169132068 448.8875201008371 -42.049403187630276 -35.797015232267796 -1969.9229625500739 -4148.405631446862 -41.91999999999996
125 3163 417.42802792048235 449.0214597165654 -31.593431796083053 -38.231453426462465 -1853.9229625500739 -4149.405631446862 -33.440000000000055
126 3164 402.39074177753133 449.15804347146667 -46.76730169393534 -40.800777075640475 -1735.9229625500739 -4149.405631446862 -24.519999999999982
127 3165 408.8736640108386 449.29644303636877 -40.42277902553019 -43.504704976682554 -1616.9229625500739 -4147.405631446862 -17.769999999999982
128 3166 392.876978000031 449.43715758016754 -56.56017958013655 -46.3213792294601 -1495.9229625500739 -4145.405631446862 -14.139999999999986
129 3167 402.4342688588434 449.57787212396624 -47.14360326512286 -49.18026431815347 -1374.9229625500739 -4143.405631446862 -11.990000000000009
130 3168 396.201441982163 449.718586667765 -53.517144685602034 -52.05856855730167 -1253.9229625500739 -4141.405631446862 -10.25
131 3169 403.40113735550636 449.8604587010121 -46.459321345505714 -54.96129608764681 -1131.9229625500739 -4139.405631446862 -7.409999999999968
132 3170 392.47834736269834 450.0028299031549 -57.524482540456574 -57.7982589628535 -1008.9229625500739 -4139.405631446862 -6.720000000000027
133 3171 386.98462583064406 450.1428861264011 -63.15826029575703 -60.49771163422931 -887.9229625500739 -4139.405631446862 -10.57000000000005
134 3172 382.6825630156191 450.2814556999227 -67.59889268430356 -63.01050431098925 -767.9229625500739 -4140.405631446862 -18.309999999999945
135 3173 380.88838116654335 450.4191969442722 -69.53081577772883 -65.40078019469311 -648.9229625500739 -4140.405631446862 -25.379999999999995
136 3174 384.06690860710404 450.55693818862176 -66.49002958151772 -67.69098314277423 -529.9229625500739 -4140.405631446862 -27.57000000000005
137 3175 377.2931806414955 450.69533775352386 -73.40215711202836 -69.92030703428898 -410.92296255007386 -4138.405631446862 -27.840000000000032
138 3176 373.25025418037484 450.83406647870225 -77.58381229832742 -72.03620634866313 -291.92296255007386 -4135.405631446862 -26.980000000000018
139 3177 387.9933100263416 450.973952693329 -62.98064266698742 -73.9961941188524 -171.92296255007386 -4132.405631446862 -25.379999999999995
140 3178 368.12131005138286 451.1131805874031 -82.99187053602026 -75.6068846969708 -51.92296255007386 -4131.405631446862 -26.840000000000032
141 3179 367.1280055169474 451.2500935025807 -84.1220879856333 -76.82779734976334 66.07703744992614 -4130.405631446862 -33.91999999999996
142 3180 380.9390026120059 451.3832047891369 -70.44420217713105 -77.50547712546711 181.07703744992614 -4130.405631446862 -49.10000000000002
143 3181 366.67896797322754 451.51350192790085 -84.8345339546733 -77.88311865199063 293.07703744992614 -4128.405631446862 -66.38999999999999
144 3182 358.96526818507994 451.64379906666477 -92.67853088158483 -78.1980291947363 405.07703744992614 -4126.405631446862 -75.29999999999995
