 index dobs regional res_data tfa_true x y z
20 2863 437.24865784114013 447.7285848073337 -10.479926966193545 -14.253490886980197 -2895.922962550074 -4616.405631446862 -112.53999999999996
21 2864 425.91314914023155 447.83160991769984 -21.918460777468283 -15.19493203262347 -2796.922962550074 -4616.405631446862 -115.61000000000001
22 2865 425.18986627760955 447.93423890426556 -22.744372626656002 -16.181657107412654 -2697.922962550074 -4617.405631446862 -122.25
23 2866 434.10383991262745 448.03607564323056 -13.93223573060311 -17.193727548632076 -2598.922962550074 -4620.405631446862 -129.47000000000003
24 2867 428.26674855702083 448.13647560071473 -19.8697270436939 -18.212452129969684 -2500.922962550074 -4624.405631446862 -135.04999999999995
25 2868 433.69979778845675 448.235438776718 -14.535640988261264 -19.235057921003047 -2403.922962550074 -4629.405631446862 -139.36
26 2869 432.11506179685784 448.3354426104018 -16.220380813543954 -20.282933857649464 -2305.922962550074 -4634.405631446862 -141.47000000000003
27 2870 431.92579416653336 448.43584256788597 -16.510048401352606 -21.353963917279255 -2207.922962550074 -4638.405631446862 -142.35000000000002
28 2871 421.195368737771 448.53767930685103 -27.34231056908004 -22.46261228440594 -2108.922962550074 -4641.405631446862 -143.24
29 2872 423.84368771711826 448.64030829341675 -24.796620576298494 -23.603136522981305 -2009.9229625500739 -4642.405631446862 -143.26
30 2873 420.68638717204374 448.74333340378286 -28.05694623173912 -24.76796301938547 -1910.9229625500739 -4642.405631446862 -142.39999999999998
31 2874 420.2482790606238 448.8467546379494 -28.598475577325587 -25.956582884474035 -1811.9229625500739 -4641.405631446862 -140.71000000000004
32 2875 420.2079990426553 448.95200877739705 -28.74400973474178 -27.19234084869698 -1711.9229625500739 -4638.405631446862 -139.26
33 2876 423.79254161777703 449.0579074507249 -25.26536583294785 -28.441501778072826 -1610.9229625500739 -4636.405631446862 -138.74
34 2877 426.32650836861154 449.1627654663722 -22.836257097760665 -29.683724791082085 -1510.9229625500739 -4634.405631446862 -138.89999999999998
35 2878 417.91727864109043 449.26826801589965 -31.350989374809217 -30.924134121082197 -1409.9229625500739 -4633.405631446862 -139.11
36 2879 419.0596336441611 449.3733744416267 -30.313740797465584 -32.14202028536939 -1308.9229625500739 -4633.405631446862 -139.95000000000005
37 2880 409.34811170405703 449.47912540123383 -40.1310136971768 -33.3391810448657 -1206.9229625500739 -4634.405631446862 -142.04999999999995
38 2881 416.6305800126636 449.58408411324024 -32.95350410057665 -34.48005373464614 -1104.9229625500739 -4637.405631446862 -144.02999999999997
39 2882 416.5315377837403 449.689438949047 -33.15790116530667 -35.60294276943304 -1002.9229625500739 -4639.405631446862 -146.17999999999995
40 2883 419.50974548708547 449.7947937848538 -30.285048297768355 -36.69345754632169 -900.9229625500739 -4641.405631446862 -146.51999999999998
41 2884 406.7801465768334 449.9022299360215 -43.12208335918814 -37.7670097672122 -796.9229625500739 -4643.405631446862 -145.98000000000002
42 2885 405.05946480201595 450.01006221098953 -44.95059740897358 -38.80726260188522 -692.9229625500739 -4644.405631446862 -146.49
43 2886 410.32838510588783 450.11789448595766 -39.78950938006983 -39.798211159849075 -588.9229625500739 -4645.405631446862 -146.49
44 2887 411.63484495935535 450.2271635424066 -38.592318583051224 -40.766167701016194 -483.92296255007386 -4645.405631446862 -145.76
45 2888 400.9712990756177 450.337473256536 -49.36617418091828 -41.67917686628132 -377.92296255007386 -4645.405631446862 -145.64999999999998
46 2889 413.2001964799227 450.4471384367852 -37.24694195686254 -42.511686859045525 -272.92296255007386 -4644.405631446862 -149.26
47 2890 401.03277884133144 450.5575958646353 -49.524817023303854 -43.307122656002846 -167.92296255007386 -4641.405631446862 -153.63
