 index dobs regional res_data x y z
65 2908 407.9090696847355 452.89979849884367 -44.99072881410814 1634.0770374499261 -4632.405631446862 -256.18000000000006
66 2909 406.34059961938294 453.0109174858819 -46.670317866498976 1730.0770374499261 -4632.405631446862 -261.79999999999995
67 2910 401.59029515488453 453.12203647292023 -51.5317413180357 1826.0770374499261 -4632.405631446862 -267.0799999999999
68 2911 400.04863950687593 453.23265629106277 -53.18401678418684 1921.0770374499261 -4630.405631446862 -272.9200000000001
69 2912 413.6048489210175 453.34327610920536 -39.73842718818787 2016.0770374499261 -4628.405631446862 -277.56999999999994
70 2913 408.44550844516726 453.4527384378996 -45.007229992732334 2110.077037449926 -4626.405631446862 -282.52
71 2914 408.2403947049758 453.5638574249379 -45.323462719962095 2206.077037449926 -4626.405631446862 -287.22
72 2915 413.4610434789987 453.67414808280415 -40.21310460380545 2301.077037449926 -4625.405631446862 -290.8699999999999
73 2916 417.90806939399056 453.78493790956617 -35.87686851557561 2397.077037449926 -4626.405631446862 -294.0899999999999
74 2917 412.40576274351383 453.8972143860527 -41.49145164253889 2494.077037449926 -4626.405631446862 -297.26
75 2918 419.2838374040124 454.00833337309103 -34.724495969078646 2590.077037449926 -4626.405631446862 -300.78999999999996
76 2919 417.7451733451602 454.12060984957765 -36.37543650441745 2687.077037449926 -4626.405631446862 -306.3900000000001
77 2920 422.5122922354273 454.23139967633966 -31.719107440912353 2783.077037449926 -4627.405631446862 -312.78
78 2921 426.481068827116 454.3433469925499 -27.862278165433906 2880.077037449926 -4628.405631446862 -318.4100000000001
79 2922 429.3367770838173 454.4562817895891 -25.119504705771817 2977.077037449926 -4626.405631446862 -323.3499999999999
80 2923 431.5248345899307 454.5703740760766 -23.045539486145856 3075.077037449926 -4624.405631446862 -326.8299999999999
81 2924 442.8839793571832 454.68396719366837 -11.799987836485172 3172.077037449926 -4620.405631446862 -331.31999999999994
82 2925 433.1823554539422 454.7990469609847 -21.616691507042503 3270.077037449926 -4615.405631446862 -336.53999999999996
83 2926 436.06078608064973 454.9144558885773 -18.853669807927588 3368.077037449926 -4609.405631446862 -341.0999999999999
84 2927 440.91298214708274 455.0316806261709 -14.118698479088152 3467.077037449926 -4601.405631446862 -345.51
85 2928 439.5358619213698 455.14791788293553 -15.612055961565716 3566.077037449926 -4596.405631446862 -348.1500000000001
86 2929 442.0593481033759 455.2664701185969 -13.207122015220989 3667.077037449926 -4591.405631446862 -350.79999999999995
87 2930 441.9648149630387 455.38287738398094 -13.418062420942249 3767.077037449926 -4589.405631446862 -354.22
88 2931 454.11725129409325 455.5004421388134 -1.3831908447201613 3868.077037449926 -4587.405631446862 -357.3800000000001
89 2932 448.6223443454061 455.61734857309324 -6.995004227687161 3969.077037449926 -4587.405631446862 -360.72
90 2933 461.85703198753527 455.7342550073731 6.1227769801621434 4070.077037449926 -4587.405631446862 -363.68000000000006
91 2934 452.98055786741463 455.8516606105487 -2.871102743134088 4172.077037449926 -4589.405631446862 -363.1700000000001
92 2935 457.7005745068678 455.9702237031727 1.730350803695103 4275.077037449926 -4591.405631446862 -361.52
93 2936 458.2755222565637 456.0892859646923 2.1862362918714098 4379.077037449926 -4595.405631446862 -359.0799999999999
94 2937 464.27811201924374 456.2095057156603 8.068606303583408 4484.077037449926 -4599.405631446862 -355.6099999999999
95 2938 470.03802727988216 456.3312121163529 13.706815163529257 4590.077037449926 -4602.405631446862 -351.70000000000005
96 2939 465.71399631940443 456.45490433566584 9.259091983738585 4698.077037449926 -4606.405631446862 -346.9000000000001
97 2940 468.9868802478197 456.57975404442703 12.407126203392693 4807.077037449926 -4610.405631446862 -342.04999999999995
98 2941 473.63660758854684 456.70460375318834 16.9320038353585 4916.077037449926 -4614.405631446862 -338.1099999999999
99 3137 444.72468289714317 445.5107399350114 -0.7860570378682041 -4896.922962550074 -4114.405631446862 -65.63999999999999
100 3138 448.8201409572382 445.640707913499 3.179433043739209 -4784.922962550074 -4113.405631446862 -69.49000000000001
101 3139 437.7249816964243 445.7721625417113 -8.04718084528696 -4671.922962550074 -4111.405631446862 -70.05999999999995
102 3140 452.85127050924154 445.9032880096472 6.947982499594332 -4558.922962550074 -4110.405631446862 -63.08000000000004
103 3141 446.7946731783073 446.0355709670315 0.7591022112757742 -4444.922962550074 -4109.405631446862 -53.5
104 3142 434.7563007179224 446.1709972324844 -11.414696514562024 -4327.922962550074 -4109.405631446862 -44.82000000000005
105 3143 447.5728568436707 446.30692266683303 1.2659341768376748 -4209.922962550074 -4111.405631446862 -36.860000000000014
106 3144 442.1594942547609 446.4430181098012 -4.2835238550403005 -4090.922962550074 -4116.405631446862 -30.74000000000001
107 3145 441.98248564176896 446.57911355276923 -4.596627911000269 -3971.922962550074 -4121.405631446862 -26.450000000000045
